Arch Poly ID,ID,Area of SSN Coverage
2805,1,1749.185252
2809,3,88.51774232
2807,4,73.7018273
2808,5,43.81748668
2806,6,52.66087982
3323,17,22.04113421
3366,17,2320.811611
3365,18,1563.985044
3367,21,125.1447061
3362,23,54.72809871
3361,24,96.63843501
3364,25,111.4950207
3360,26,1628.541524
3359,26,978.2913248
3360,27,990.0314109
3363,35,112.3381559
3358,35,105.09128
3360,36,1.366411597
1505,38,98.64654202
1506,39,63.64273431
1504,40,52.23075735
1503,41,75.60854544
1496,42,87.05139185
1495,42,56.7263212
1474,43,152.9946906
1475,44,137.1802944
1471,45,115.1902556
1466,46,668.7752856
1472,47,82.60197889
1467,47,88.30639586
1493,48,128.3509558
1490,49,67.2605555
1488,49,167.6665778
1487,49,185.9559612
1489,49,141.9409148
1491,49,102.0154396
1481,49,85.78275563
1482,49,108.6176047
1492,50,165.6190777
1486,50,82.51976413
1485,50,66.80798278
1484,50,200.4758603
1494,51,75.87033531
1473,52,55.45532353
1483,53,158.0317765
1479,53,112.1093475
1480,54,106.6886354
1478,54,86.34468918
1477,54,117.2143647
1476,55,79.47295062
1468,55,133.3240273
1469,55,207.1316619
1470,55,100.2324757
1465,56,69.54171363
1464,56,67.1683333
1463,57,44.01595789
1462,57,48.14508782
1500,58,63.99179046
1499,58,85.89466409
1501,59,33.34896533
1497,59,56.36376205
1498,59,63.99799824
1502,60,123.2187918
2081,61,924.2874815
2082,61,924.2874815
2083,61,924.2874815
2082,62,324.7301929
2083,63,0.466546594
2073,63,36.69218195
2081,63,20.41215985
2082,63,20.41215985
2083,63,20.41215985
2044,64,84.16885852
2043,64,85.03254063
2047,64,84.19823863
2046,64,125.5634579
2045,64,70.68392148
2077,65,1485.117532
2078,66,477.4814333
2079,67,375.2058024
2080,68,395.3594866
2075,69,71.61598125
2076,69,69.65400182
2084,70,371.0317059
2065,71,63.8108893
2064,71,0.003521276
2066,71,94.36803995
2071,71,71.98873953
2074,72,74.47231519
2069,73,76.828869
2070,73,156.6442877
2068,73,178.7068164
2067,74,139.2070841
2063,74,189.5359959
2064,74,130.2972226
2061,74,122.3181776
2062,74,148.2229784
2082,75,3.245499299
2072,75,134.1247157
2022,76,149.7792536
2021,76,94.24952536
2041,77,88.41455699
2040,77,118.984901
2049,78,135.6370433
2048,78,165.0930304
2042,78,133.0632011
2060,79,85.7471205
2058,79,130.1651285
2057,79,85.64263388
2055,79,117.5654345
2054,79,140.7964636
2032,80,74.41441195
2030,80,195.6492804
2031,80,83.81895611
2029,80,60.20430161
2038,80,84.99138448
2039,80,89.20451214
2026,81,76.13646869
2027,81,97.87133559
2028,81,81.50294127
2033,81,125.6579701
2034,81,134.5360811
2059,82,225.8042755
2056,82,81.37779748
2053,82,246.0597064
2052,82,46.88124571
2051,82,115.7995637
2050,82,74.90138214
2036,83,115.2890841
2035,83,146.8619439
2037,83,126.4154313
2025,84,182.7427422
2024,85,90.17962596
2023,85,130.8493274
2800,86,2212.941188
2793,87,1467.580265
2792,88,867.0379818
2791,89,838.2385501
2788,90,0.367112102
2787,90,97.32593411
2788,91,495.4947637
2786,92,952.5880327
2796,93,202.4905437
2797,94,83.8712028
2789,95,101.4390818
2790,96,118.8225214
2795,97,64.3723551
2794,97,122.8080767
2798,98,57.44866021
2785,99,113.0491962
2799,100,159.204885
2784,101,356.8978342
2085,102,1572.11982
3344,108,30.76574794
3345,108,34.64734141
3346,108,52.47329022
3354,109,1969.242293
3326,110,81.31498418
3323,110,0.474951641
3327,110,56.73510223
3323,111,3319.757461
3325,112,40.89238735
3324,112,39.27014107
3356,113,1308.679642
3355,113,5347.968449
3356,114,2153.013647
3357,115,2559.515892
3337,116,135.7370887
3340,117,47.90557455
3339,117,63.76194273
3342,118,64.18685043
3343,118,45.29821333
3348,119,44.44034512
3349,119,61.54598223
3330,120,95.26085437
3354,121,6.528479403
3351,121,50.45418137
3352,121,56.35583785
3353,122,132.6222492
3331,123,93.49768667
3332,124,113.6724284
2801,128,106.9534865
3350,129,77.69047255
3335,130,130.1461562
3328,131,112.1372255
3333,132,105.9377533
