Code,Meaning
1,Bone
2,Ceramic
3,Feature
4,Lithic
5,Shell
6,Stone
7,Candelero
8,Censer
9,cerOther
10,ThinOrange
11,Comal
12,Figurine
13,Foreign
14,Nubbin
15,Olla
16,SanMartin
17,Basalt
18,Chert
19,Obsidian
20,Quartz
21,gemStone
22,Groundstone
23,Sculpture
24,Slate
25,workedBone
26,unworkedBone
27,candCoat
28,candAtoy
29,candEXol
30,candLXol
31,candMete
32,candComm
33,censerPPat
34,censerPatl
35,censerTzac
36,censerMicc
37,censerTlam
38,censerXola
39,censerMete
40,censerLate
41,PreCl
42,Cuan
43,Tezo
44,Coyotlatelco
45,Maza
46,Azte
47,spindleWhorl
48,sealStamp
49,earSpool
50,whistle
51,flute
52,burner3P
53,coverHandled
54,shrdStamped
55,shrdPlanoR
56,shrdStucco
57,shrdIncised
58,adornos
59,minatures
60,copas
61,matteWare
62,granular
63,ceramicDisk
64,toCoarse
65,toRegular
66,comalPatl
67,comalTzac
68,comalMicc
69,comalTlam
70,comalXola
71,comalMete
72,comalOxto
73,comalPOxt
74,figHead
75,figPPat
76,figPatl
77,figTzac
78,figMic
79,figTlam
80,figXola
81,figMete
82,figTolt
83,figAzte
84,figPupp
85,mayaLow
86,mayaHigh
87,huastec
88,tajin
89,gulfCoast
90,monteAlban
91,oaxaca
92,foreignOther
93,nubbinPatl
94,nubbinApet
95,nubbinInset
96,nubbinFlush
97,nubbinAtoy
98,nubbinXola
99,nubbinMete
100,ollaPatl
101,ollaWedge
102,ollaMicc
103,ollaTlam
104,ollaXola
105,ollaMete
106,smoTlam
107,smoXola
108,smoMete
109,burials
110,midden
111,basaltTools
112,obsidianBlades
113,obsidianWaste
114,obsidianScrapers
115,obsidianBifaces
116,obsidianCores
117,obsidianEccentrics
118,obsidianMagueyS
119,obsidianUtFlake
120,obsidianNodules
121,shellWorked
122,alabaster
123,fineGreenstone
124,manos
125,metates
126,mortars
127,pestles
128,plasterSmoothers
129,plumbBobs
130,wallFixSurf
131,hammerStones
132,slingStones
133,smoothStones
134,whetStones
135,palettes
136,celts
137,lajasReworked
138,anvils
139,drainSurface
140,drainCovers
141,groundstoneOther
142,fireGods
143,sculptureFrags
144,slatePainted
145,almena
146,areaSite
147,height
148,areaStruct
