ID,Code,Variable,Where
1,4,erosion,NA
1,19,constructQual,NA
1,0,floorMaterial,M
1,4,lajas,NA
1,1,cascajo,NA
1,44,plowing,NA
1,23,stoneDist,NA
1,6,stoneQuant,NA
1,2,intrusiveSherd,NA
1,6,ceramicAbundance,NA
1,1,beans,NA
1,1,nopales,NA
1,0,wallCoreStone,M
1,0,wallFacing,M
1,48,cropWater,NA
1,147,analysisYear,NA
1,132,analysisQuarter,NA
1,11,slope,NA
1,141,collectionYear,NA
1,134,collectionQuarter,NA
1,0,boundInfoQual,M
10,12,erosion,NA
10,12,uncultivate,NA
10,12,silting,NA
10,0,constructQual,M
10,0,floorMaterial,M
10,2,lajas,NA
10,22,stoneDist,NA
10,5,stoneQuant,NA
10,2,intrusiveSherd,NA
10,4,ceramicAbundance,NA
10,1,nopales,NA
10,0,wallCoreOthMat,M
10,0,wallCoreStone,M
10,0,wallFacing,M
10,48,cropWater,NA
10,147,analysisYear,NA
10,132,analysisQuarter,NA
10,11,slope,NA
10,141,collectionYear,NA
10,134,collectionQuarter,NA
10,0,boundInfoQual,M
100,4,erosion,NA
100,12,pitCultivate,NA
100,12,silting,NA
100,12,siteAlteration,NA
100,18,constructQual,NA
100,0,floorMaterial,M
100,4,lajas,NA
100,1,tepetate,NA
100,22,stoneDist,NA
100,4,stoneQuant,NA
100,2,intrusiveSherd,NA
100,4,ceramicAbundance,NA
100,1,magueys,NA
100,0,wallCoreOthMat,M
100,0,wallCoreStone,M
100,0,wallFacing,M
100,48,cropWater,NA
100,147,analysisYear,NA
100,132,analysisQuarter,NA
100,12,slope,NA
100,141,collectionYear,NA
100,134,collectionQuarter,NA
100,136,boundInfoQual,NA
1000,12,erosion,NA
1000,12,uncultivate,NA
1000,0,constructQual,M
1000,0,floorMaterial,M
1000,22,stoneDist,NA
1000,4,stoneQuant,NA
1000,2,intrusiveSherd,NA
1000,4,ceramicAbundance,NA
1000,0,wallCoreOthMat,M
1000,0,wallCoreStone,M
1000,0,wallFacing,M
1000,48,cropWater,NA
1000,144,analysisYear,NA
1000,134,analysisQuarter,NA
1000,11,slope,NA
1000,144,collectionYear,NA
1000,134,collectionQuarter,NA
1000,0,boundInfoQual,M
1001,4,erosion,NA
1001,0,fallow,M
1001,0,uncultivate,M
1001,18,constructQual,NA
1001,0,floorMaterial,M
1001,4,lajas,NA
1001,6,tepetate,NA
1001,6,cascajo,NA
1001,0,plowing,M
1001,22,stoneDist,NA
1001,6,stoneQuant,NA
1001,2,intrusiveSherd,NA
1001,6,ceramicAbundance,NA
1001,0,milpa,M
1001,0,barley,M
1001,0,beans,M
1001,0,alfalfaCut,M
1001,0,alfalfaUncut,M
1001,0,nopales,M
1001,0,magueys,M
1001,0,wallCoreOthMat,M
1001,0,wallCoreStone,M
1001,0,wallFacing,M
1001,48,cropWater,NA
1001,144,analysisYear,NA
1001,134,analysisQuarter,NA
1001,11,slope,NA
1001,144,collectionYear,NA
1001,134,collectionQuarter,NA
1001,138,boundInfoQual,NA
1002,4,erosion,NA
1002,12,uncultivate,NA
1002,19,constructQual,NA
1002,0,floorMaterial,M
1002,10,cascajo,NA
1002,22,stoneDist,NA
1002,4,stoneQuant,NA
1002,2,intrusiveSherd,NA
1002,4,ceramicAbundance,NA
1002,0,wallCoreOthMat,M
1002,0,wallCoreStone,M
1002,0,wallFacing,M
1002,48,cropWater,NA
1002,144,analysisYear,NA
1002,134,analysisQuarter,NA
1002,11,slope,NA
1002,144,collectionYear,NA
1002,134,collectionQuarter,NA
1002,136,boundInfoQual,NA
1003,12,uncultivate,NA
1003,0,constructQual,M
1003,0,floorMaterial,M
1003,22,stoneDist,NA
1003,2,stoneQuant,NA
1003,0,intrusiveSherd,M
1003,0,ceramicAbundance,M
1003,0,wallCoreOthMat,M
1003,0,wallCoreStone,M
1003,0,wallFacing,M
1003,48,cropWater,NA
1003,0,analysisYear,M
1003,0,analysisQuarter,M
1003,11,slope,NA
1003,144,collectionYear,NA
1003,134,collectionQuarter,NA
1003,0,boundInfoQual,M
