"archInterp1","archInterp2","funcInterp1","funcInterp2","count"
"access-way (alley, street, avenue, etc.)","casa humilde","street or avenue","low status residential, no obvious occupational specialization",1
"access-way (alley, street, avenue, etc.)","free-standing wall or segment of wall","street or avenue","wall or segment of a wall",3
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","no plausible alternative to the pirmary interpretation",103
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","obsidian workshop",2
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",9
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
"access-way (alley, street, avenue, etc.)","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",3
"access-way (alley, street, avenue, etc.)","occupation without durable structures","street or avenue","market or part of a market",3
"access-way (alley, street, avenue, etc.)","occupation without durable structures","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",8
"access-way (alley, street, avenue, etc.)","other","street or avenue","other",2
"access-way (alley, street, avenue, etc.)","plaza","street or avenue","plaza",18
"access-way (alley, street, avenue, etc.)","primary interpretation is the best assessment of a very ambiguous situation","plaza","primary interpretation is the best assessment of a very ambiguous situation",3
"access-way (alley, street, avenue, etc.)","primary interpretation is the best assessment of a very ambiguous situation","street or avenue","primary interpretation is the best assessment of a very ambiguous situation",26
"access-way (alley, street, avenue, etc.)","probably not occupied or utilized in this period","street or avenue","unoccupied, not clear if cultivated or not",2
"apartment compound","access-way (alley, street, avenue, etc.)","residence of uncertain status","street or avenue",2
"apartment compound","apartment compound","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"apartment compound","casa humilde","intermediate status residence","low status residential, no obvious occupational specialization",12
"apartment compound","casa humilde","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","casa humilde","obsidian workshop","residential workshop",2
"apartment compound","casa humilde","other type of workshop or craft production area","pottery workshop",2
"apartment compound","casa humilde","residence of uncertain status","low status residential, no obvious occupational specialization",2
"apartment compound","casa humilde","residence of uncertain status","no plausible alternative to the pirmary interpretation",2
"apartment compound","cemetery","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",2
"apartment compound","cemetery","residence of uncertain status","cemetery",2
"apartment compound","no plausible alternative to the primary interpretation","\""civic\"" structure, but not a temple","high status residence",4
"apartment compound","no plausible alternative to the primary interpretation","high status residence","\""civic\"" structure, but not a temple",6
"apartment compound","no plausible alternative to the primary interpretation","high status residence","high status residence",2
"apartment compound","no plausible alternative to the primary interpretation","high status residence","intermediate status residence",34
"apartment compound","no plausible alternative to the primary interpretation","high status residence","no plausible alternative to the pirmary interpretation",382
"apartment compound","no plausible alternative to the primary interpretation","high status residence","primary interpretation is the best assessment of a very ambiguous situation",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","\""civic\"" structure, but not a temple",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","high status residence",34
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","no plausible alternative to the pirmary interpretation",2841
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","obsidian workshop",8
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","other",4
"apartment compound","no plausible alternative to the primary interpretation","intermediate status residence","other type of workshop or craft production area",12
