ArtCode1,ArtCode2,ArtCode3,SSN,Count,Where
6,22,125,1,1,NA
6,22,128,1,1,NA
6,22,136,1,0,Missing
6,22,137,1,1,NA
1,19,112,1,8,NA
1,19,114,1,7,NA
1,19,115,1,4,NA
1,19,116,1,2,NA
1,12,74,1,1,NA
1,12,75,1,0,Missing
1,12,76,1,0,Missing
1,12,77,1,0,Missing
1,12,78,1,0,Missing
1,12,79,1,0,Missing
1,12,80,1,0,Missing
1,12,81,1,0,Missing
1,12,82,1,0,Missing
1,12,46,1,1,NA
1,12,84,1,0,Missing
2,9,47,1,1,NA
2,7,27,1,0,Missing
2,7,28,1,0,Missing
2,7,29,1,0,Missing
2,7,30,1,0,Missing
2,7,31,1,0,Missing
2,7,32,1,2,NA
2,9,42,1,2,NA
2,9,45,1,7,NA
2,9,46,1,29,NA
2,8,36,1,3,NA
2,8,37,1,2,NA
1,16,106,1,0,Missing
1,16,107,1,0,Missing
1,16,108,1,0,Missing
1,15,101,1,8,NA
1,15,102,1,2,NA
1,15,103,1,40,NA
1,15,104,1,1,NA
1,11,69,1,1,NA
1,14,95,1,1,NA
1,14,96,1,3,NA
2,9,57,1,1,NA
2,9,63,1,2,NA
1,10,65,1,2,NA
2,9,44,1,28,NA
0,0,146,1,7700,NA
0,0,147,1,5,NA
0,0,148,1,1848,NA
6,22,136,10,0,Missing
1,19,112,10,22,NA
1,19,113,10,2,NA
1,19,114,10,9,NA
1,19,115,10,4,NA
1,12,74,10,0,Missing
1,12,75,10,0,Missing
1,12,76,10,0,Missing
1,12,77,10,0,Missing
1,12,78,10,0,Missing
1,12,79,10,0,Missing
1,12,80,10,0,Missing
1,12,81,10,0,Missing
1,12,82,10,0,Missing
1,12,46,10,0,Missing
1,12,84,10,0,Missing
2,9,42,10,1,NA
2,9,46,10,22,NA
1,15,101,10,2,NA
2,9,62,10,1,NA
2,9,63,10,1,NA
2,9,44,10,1,NA
0,0,146,10,3250,NA
0,0,148,10,0,Missing
6,22,124,100,3,NA
6,22,125,100,2,NA
6,22,136,100,0,Missing
1,19,112,100,5,NA
1,19,115,100,5,NA
1,19,116,100,1,NA
1,17,111,100,0,Missing
1,12,74,100,3,NA
1,12,75,100,0,Missing
1,12,76,100,0,Missing
1,12,77,100,0,Missing
1,12,78,100,2,NA
1,12,79,100,0,Missing
1,12,80,100,0,Missing
1,12,81,100,0,Missing
1,12,82,100,0,Missing
1,12,46,100,1,NA
1,12,84,100,1,NA
2,9,46,100,16,NA
2,8,38,100,1,NA
1,15,101,100,6,NA
1,15,102,100,1,NA
1,15,103,100,4,NA
1,11,69,100,1,NA
1,14,95,100,1,NA
0,0,146,100,13920,NA
6,22,136,1000,0,Missing
1,19,112,1000,8,NA
1,19,113,1000,19,NA
1,19,114,1000,6,NA
1,19,115,1000,4,NA
1,17,111,1000,1,NA
1,18,18,1000,0,Missing
1,12,75,1000,0,Missing
1,12,76,1000,0,Missing
1,12,77,1000,0,Missing
1,12,78,1000,0,Missing
1,12,79,1000,0,Missing
1,12,80,1000,0,Missing
1,12,81,1000,0,Missing
1,12,82,1000,0,Missing
1,12,46,1000,0,Missing
2,9,46,1000,29,NA
1,15,100,1000,1,NA
1,15,101,1000,5,NA
1,15,102,1000,1,NA
1,11,68,1000,1,NA
2,9,62,1000,3,NA
1,10,65,1000,30,NA
2,9,44,1000,32,NA
0,0,146,1000,1010,NA
0,0,148,1000,0,Missing
6,22,124,1001,1,NA
6,22,125,1001,4,NA
6,22,131,1001,2,NA
6,22,136,1001,0,Missing
1,19,112,1001,16,NA
1,19,113,1001,18,NA
1,19,114,1001,2,NA
1,19,115,1001,1,NA
1,12,74,1001,1,NA
1,12,75,1001,0,Missing
1,12,76,1001,0,Missing
1,12,77,1001,0,Missing
1,12,78,1001,0,Missing
