SSN,Code,Variable,Where
1,6,func1PMic,NA
1,4,func1McTl,NA
1,4,func1XlMe,NA
1,38,func1Oxto,NA
1,2,arch1PMic,NA
1,1,arch1McTl,NA
1,1,arch1XlMe,NA
1,40,arch1Oxto,NA
1,70,neighborhoodChar,NA
2,0,func1PMic,Missing
2,0,func1McTl,Missing
2,0,func1XlMe,Missing
2,38,func1Oxto,NA
2,8,arch1PMic,NA
2,8,arch1McTl,NA
2,8,arch1XlMe,NA
2,40,arch1Oxto,NA
2,70,neighborhoodChar,NA
3,5,func1PMic,NA
3,38,func1McTl,NA
3,38,func1XlMe,NA
3,38,func1Oxto,NA
3,7,arch1PMic,NA
3,40,arch1McTl,NA
3,40,arch1XlMe,NA
3,40,arch1Oxto,NA
3,70,neighborhoodChar,NA
4,5,func1PMic,NA
4,38,func1McTl,NA
4,38,func1XlMe,NA
4,38,func1Oxto,NA
4,7,arch1PMic,NA
4,40,arch1McTl,NA
4,40,arch1XlMe,NA
4,40,arch1Oxto,NA
4,70,neighborhoodChar,NA
5,5,func1PMic,NA
5,38,func1McTl,NA
5,38,func1XlMe,NA
5,38,func1Oxto,NA
5,7,arch1PMic,NA
5,40,arch1McTl,NA
5,40,arch1XlMe,NA
5,40,arch1Oxto,NA
5,70,neighborhoodChar,NA
6,5,func1PMic,NA
6,38,func1McTl,NA
6,38,func1XlMe,NA
6,38,func1Oxto,NA
6,7,arch1PMic,NA
6,40,arch1McTl,NA
6,40,arch1XlMe,NA
6,40,arch1Oxto,NA
6,70,neighborhoodChar,NA
7,38,func1PMic,NA
7,38,func1McTl,NA
7,38,func1XlMe,NA
7,38,func1Oxto,NA
7,40,arch1PMic,NA
7,40,arch1McTl,NA
7,40,arch1XlMe,NA
7,40,arch1Oxto,NA
7,70,neighborhoodChar,NA
8,5,func1PMic,NA
8,38,func1McTl,NA
8,38,func1XlMe,NA
8,38,func1Oxto,NA
8,8,arch1PMic,NA
8,40,arch1McTl,NA
8,40,arch1XlMe,NA
8,40,arch1Oxto,NA
8,70,neighborhoodChar,NA
9,5,func1PMic,NA
9,38,func1McTl,NA
9,38,func1XlMe,NA
9,38,func1Oxto,NA
9,8,arch1PMic,NA
9,40,arch1McTl,NA
9,40,arch1XlMe,NA
9,40,arch1Oxto,NA
9,70,neighborhoodChar,NA
10,38,func1PMic,NA
10,38,func1McTl,NA
10,38,func1XlMe,NA
10,38,func1Oxto,NA
10,40,arch1PMic,NA
10,40,arch1McTl,NA
10,40,arch1XlMe,NA
10,40,arch1Oxto,NA
10,70,neighborhoodChar,NA
11,0,func1PMic,Missing
11,38,func1McTl,NA
11,38,func1XlMe,NA
11,38,func1Oxto,NA
11,8,arch1PMic,NA
11,40,arch1McTl,NA
11,40,arch1XlMe,NA
11,40,arch1Oxto,NA
11,70,neighborhoodChar,NA
12,38,func1PMic,NA
12,38,func1McTl,NA
12,38,func1XlMe,NA
12,38,func1Oxto,NA
12,40,arch1PMic,NA
12,40,arch1McTl,NA
12,40,arch1XlMe,NA
12,40,arch1Oxto,NA
12,70,neighborhoodChar,NA
13,38,func1PMic,NA
13,38,func1McTl,NA
13,38,func1XlMe,NA
13,38,func1Oxto,NA
13,40,arch1PMic,NA
13,40,arch1McTl,NA
13,40,arch1XlMe,NA
13,40,arch1Oxto,NA
13,70,neighborhoodChar,NA
14,38,func1PMic,NA
14,38,func1McTl,NA
14,38,func1XlMe,NA
14,38,func1Oxto,NA
14,40,arch1PMic,NA
14,40,arch1McTl,NA
14,40,arch1XlMe,NA
14,40,arch1Oxto,NA
14,70,neighborhoodChar,NA
15,0,func1PMic,Missing
15,38,func1McTl,NA
15,38,func1XlMe,NA
15,38,func1Oxto,NA
15,8,arch1PMic,NA
15,40,arch1McTl,NA
15,40,arch1XlMe,NA
15,40,arch1Oxto,NA
15,70,neighborhoodChar,NA
16,0,func1PMic,Missing
16,38,func1McTl,NA
16,38,func1XlMe,NA
16,38,func1Oxto,NA
16,8,arch1PMic,NA
16,40,arch1McTl,NA
16,40,arch1XlMe,NA
16,40,arch1Oxto,NA
16,70,neighborhoodChar,NA
17,6,func1PMic,NA
17,4,func1McTl,NA
17,4,func1XlMe,NA
17,38,func1Oxto,NA
17,2,arch1PMic,NA
17,1,arch1McTl,NA
17,1,arch1XlMe,NA
17,40,arch1Oxto,NA
17,71,neighborhoodChar,NA
18,6,func1PMic,NA
18,4,func1McTl,NA
18,4,func1XlMe,NA
18,38,func1Oxto,NA
18,2,arch1PMic,NA
18,1,arch1McTl,NA
18,1,arch1XlMe,NA
18,40,arch1Oxto,NA
18,71,neighborhoodChar,NA
19,36,func1PMic,NA
19,36,func1McTl,NA
19,38,func1XlMe,NA
19,38,func1Oxto,NA
19,8,arch1PMic,NA
19,8,arch1McTl,NA
19,40,arch1XlMe,NA
19,40,arch1Oxto,NA
19,7,arch2PMic,NA
19,7,arch2McTl,NA
19,5,func2PMic,NA
19,5,func2McTl,NA
19,71,neighborhoodChar,NA
20,36,func1PMic,NA
20,36,func1McTl,NA
20,38,func1XlMe,NA
20,38,func1Oxto,NA
20,8,arch1PMic,NA
20,8,arch1McTl,NA
20,40,arch1XlMe,NA
20,40,arch1Oxto,NA
20,7,arch2PMic,NA
20,7,arch2McTl,NA
20,5,func2PMic,NA
20,5,func2McTl,NA
20,71,neighborhoodChar,NA
21,5,func1PMic,NA
