SSN,Count,Variable,Where
1,21,obsidianTot,NA
1,2,basaltTot,NA
1,14,figTot,NA
1,3,candTot,NA
1,229,totAll,NA
1,10,totPatl,NA
1,34,totTzac,NA
1,22,totMicc,NA
1,79,totTlam,NA
1,14,totXola,NA
1,5,censerTot,NA
1,2,toTot,NA
1,4,smoTot,NA
1,51,ollaTot,NA
1,1,comalTot,NA
1,4,nubbinTot,NA
2,35,obsidianTot,NA
2,7,figTot,NA
2,240,totAll,NA
2,46,totPatl,NA
2,51,totTzac,NA
2,17,totMicc,NA
2,4,totTlam,NA
2,10,totXola,NA
2,3,censerTot,NA
2,3,toTot,NA
2,5,smoTot,NA
2,31,ollaTot,NA
2,1,comalTot,NA
2,3,nubbinTot,NA
3,43,obsidianTot,NA
3,2,basaltTot,NA
3,5,figTot,NA
3,537,totAll,NA
3,310,totPatl,NA
3,123,totTzac,NA
3,4,totTlam,NA
3,1,toTot,NA
3,18,ollaTot,NA
4,17,obsidianTot,NA
4,1,figTot,NA
4,157,totAll,NA
4,67,totPatl,NA
4,39,totTzac,NA
4,2,totTlam,NA
4,1,ollaTot,NA
4,1,nubbinTot,NA
5,8,obsidianTot,NA
5,37,totAll,NA
5,11,totPatl,NA
5,17,totTzac,NA
5,3,ollaTot,NA
6,9,obsidianTot,NA
6,42,totAll,NA
6,12,totPatl,NA
6,16,totTzac,NA
6,1,totXola,NA
6,1,totMete,NA
6,2,ollaTot,NA
7,0,obsidianTot,Missing
7,2,basaltTot,NA
7,40,totAll,NA
7,3,totTzac,NA
7,1,totMicc,NA
7,6,totTlam,NA
7,6,ollaTot,NA
8,51,obsidianTot,NA
8,2,basaltTot,NA
8,7,figTot,NA
8,203,totAll,NA
8,28,totPatl,NA
8,40,totTzac,NA
8,8,totTlam,NA
8,7,totXola,NA
8,5,ollaTot,NA
9,16,obsidianTot,NA
9,7,figTot,NA
9,89,totAll,NA
9,6,totPatl,NA
9,11,totTzac,NA
9,1,toTot,NA
10,37,obsidianTot,NA
10,1,figTot,NA
10,44,totAll,NA
10,6,totPatl,NA
10,8,totTzac,NA
10,4,totXola,NA
10,2,ollaTot,NA
10,1,granTot,NA
11,39,obsidianTot,NA
11,3,figTot,NA
11,116,totAll,NA
11,28,totPatl,NA
11,35,totTzac,NA
11,1,totTlam,NA
11,1,totXola,NA
11,1,smoTot,NA
11,2,ollaTot,NA
12,27,obsidianTot,NA
12,4,figTot,NA
12,148,totAll,NA
12,14,totPatl,NA
12,5,totTzac,NA
12,5,totTlam,NA
12,1,censerTot,NA
12,7,toTot,NA
13,13,obsidianTot,NA
13,3,figTot,NA
13,28,totAll,NA
13,4,totPatl,NA
13,7,totTzac,NA
13,4,totTlam,NA
13,1,ollaTot,NA
14,4,obsidianTot,NA
14,35,totAll,NA
14,2,totPatl,NA
14,3,totTlam,NA
14,1,granTot,NA
15,11,obsidianTot,NA
15,1,figTot,NA
15,71,totAll,NA
15,13,totPatl,NA
15,15,totTzac,NA
15,3,totTlam,NA
15,2,totXola,NA
15,2,smoTot,NA
15,2,ollaTot,NA
15,1,foreignTot,NA
16,9,obsidianTot,NA
16,0,figTot,Missing
16,107,totAll,NA
16,25,totPatl,NA
16,19,totTzac,NA
16,7,totTlam,NA
16,6,totXola,NA
16,6,ollaTot,NA
17,5,obsidianTot,NA
17,6,figTot,NA
17,208,totAll,NA
17,4,totPatl,NA
17,10,totTzac,NA
17,21,totMicc,NA
17,41,totTlam,NA
17,23,totXola,NA
17,3,totMete,NA
17,2,censerTot,NA
17,34,toTot,NA
17,2,smoTot,NA
17,34,ollaTot,NA
17,3,comalTot,NA
