"","ArchPolyID","SSN","Area_SSN_Coverage"
"1",2805,1,1749.185252
"2",2809,3,88.51774232
"3",2807,4,73.7018273
"4",2808,5,43.81748668
"5",2806,6,52.66087982
"6",3323,17,22.04113421
"7",3366,17,2320.811611
"8",3365,18,1563.985044
"9",3367,21,125.1447061
"10",3362,23,54.72809871
"11",3361,24,96.63843501
"12",3364,25,111.4950207
"13",3360,26,1628.541524
"14",3359,26,978.2913248
"15",3360,27,990.0314109
"16",3363,35,112.3381559
"17",3358,35,105.09128
"18",3360,36,1.366411597
"19",1505,38,98.64654202
"20",1506,39,63.64273431
"21",1504,40,52.23075735
"22",1503,41,75.60854544
"23",1496,42,87.05139185
"24",1495,42,56.7263212
"25",1474,43,152.9946906
"26",1475,44,137.1802944
"27",1471,45,115.1902556
"28",1466,46,668.7752856
"29",1472,47,82.60197889
"30",1467,47,88.30639586
"31",1493,48,128.3509558
"32",1490,49,67.2605555
"33",1488,49,167.6665778
"34",1487,49,185.9559612
"35",1489,49,141.9409148
"36",1491,49,102.0154396
"37",1481,49,85.78275563
"38",1482,49,108.6176047
"39",1492,50,165.6190777
"40",1486,50,82.51976413
"41",1485,50,66.80798278
"42",1484,50,200.4758603
"43",1494,51,75.87033531
"44",1473,52,55.45532353
"45",1483,53,158.0317765
"46",1479,53,112.1093475
"47",1480,54,106.6886354
"48",1478,54,86.34468918
"49",1477,54,117.2143647
"50",1476,55,79.47295062
"51",1468,55,133.3240273
"52",1469,55,207.1316619
"53",1470,55,100.2324757
"54",1465,56,69.54171363
"55",1464,56,67.1683333
"56",1463,57,44.01595789
"57",1462,57,48.14508782
"58",1500,58,63.99179046
"59",1499,58,85.89466409
"60",1501,59,33.34896533
"61",1497,59,56.36376205
"62",1498,59,63.99799824
"63",1502,60,123.2187918
"64",2081,61,924.2874815
"65",2082,61,924.2874815
"66",2083,61,924.2874815
"67",2082,62,324.7301929
"68",2083,63,0.466546594
"69",2073,63,36.69218195
"70",2081,63,20.41215985
"71",2082,63,20.41215985
"72",2083,63,20.41215985
"73",2044,64,84.16885852
"74",2043,64,85.03254063
"75",2047,64,84.19823863
"76",2046,64,125.5634579
"77",2045,64,70.68392148
"78",2077,65,1485.117532
"79",2078,66,477.4814333
"80",2079,67,375.2058024
"81",2080,68,395.3594866
"82",2075,69,71.61598125
"83",2076,69,69.65400182
"84",2084,70,371.0317059
"85",2065,71,63.8108893
"86",2064,71,0.003521276
"87",2066,71,94.36803995
"88",2071,71,71.98873953
"89",2074,72,74.47231519
"90",2069,73,76.828869
"91",2070,73,156.6442877
"92",2068,73,178.7068164
"93",2067,74,139.2070841
"94",2063,74,189.5359959
"95",2064,74,130.2972226
"96",2061,74,122.3181776
"97",2062,74,148.2229784
"98",2082,75,3.245499299
"99",2072,75,134.1247157
"100",2022,76,149.7792536
"101",2021,76,94.24952536
"102",2041,77,88.41455699
"103",2040,77,118.984901
"104",2049,78,135.6370433
"105",2048,78,165.0930304
"106",2042,78,133.0632011
"107",2060,79,85.7471205
"108",2058,79,130.1651285
"109",2057,79,85.64263388
"110",2055,79,117.5654345
"111",2054,79,140.7964636
"112",2032,80,74.41441195
"113",2030,80,195.6492804
"114",2031,80,83.81895611
"115",2029,80,60.20430161
"116",2038,80,84.99138448
"117",2039,80,89.20451214
"118",2026,81,76.13646869
"119",2027,81,97.87133559
"120",2028,81,81.50294127
"121",2033,81,125.6579701
"122",2034,81,134.5360811
"123",2059,82,225.8042755
"124",2056,82,81.37779748
"125",2053,82,246.0597064
"126",2052,82,46.88124571
"127",2051,82,115.7995637
"128",2050,82,74.90138214
"129",2036,83,115.2890841
"130",2035,83,146.8619439
"131",2037,83,126.4154313
"132",2025,84,182.7427422
"133",2024,85,90.17962596
"134",2023,85,130.8493274
"135",2800,86,2212.941188
"136",2793,87,1467.580265
"137",2792,88,867.0379818
"138",2791,89,838.2385501
"139",2788,90,0.367112102
"140",2787,90,97.32593411
"141",2788,91,495.4947637
"142",2786,92,952.5880327
"143",2796,93,202.4905437
"144",2797,94,83.8712028
"145",2789,95,101.4390818
"146",2790,96,118.8225214
"147",2795,97,64.3723551
"148",2794,97,122.8080767
"149",2798,98,57.44866021
"150",2785,99,113.0491962
"151",2799,100,159.204885
"152",2784,101,356.8978342
"153",2085,102,1572.11982
"154",3344,108,30.76574794
"155",3345,108,34.64734141
"156",3346,108,52.47329022
"157",3354,109,1969.242293
"158",3326,110,81.31498418
"159",3323,110,0.474951641
"160",3327,110,56.73510223
"161",3323,111,3319.757461
"162",3325,112,40.89238735
"163",3324,112,39.27014107
"164",3356,113,1308.679642
"165",3355,113,5347.968449
"166",3356,114,2153.013647
"167",3357,115,2559.515892
"168",3337,116,135.7370887
"169",3340,117,47.90557455
"170",3339,117,63.76194273
"171",3342,118,64.18685043
"172",3343,118,45.29821333
"173",3348,119,44.44034512
"174",3349,119,61.54598223
"175",3330,120,95.26085437
"176",3354,121,6.528479403
"177",3351,121,50.45418137
"178",3352,121,56.35583785
"179",3353,122,132.6222492
"180",3331,123,93.49768667
"181",3332,124,113.6724284
"182",2801,128,106.9534865
"183",3350,129,77.69047255
"184",3335,130,130.1461562
"185",3328,131,112.1372255
"186",3333,132,105.9377533
"187",3334,132,107.8287032
"188",3329,133,134.6482164
"189",3341,134,101.0247624
"190",3347,135,79.93054815
"191",3336,136,120.1427096
"192",3355,139,24.91681827
"193",3355,139,1.074207664
"194",3338,140,107.7274983
"195",1441,141,156.3815962
"196",1442,141,155.4896796
"197",1440,143,144.9161104
"198",1427,145,108.2846862
"199",1425,146,101.5044371
"200",1426,146,79.40499162
"201",1423,146,76.08577788
"202",1424,146,79.54417939
"203",1437,147,70.08079501
"204",1438,147,159.4883306
"205",1422,148,114.9815291
"206",1421,148,109.1467537
"207",1417,149,170.0362257
"208",1416,149,152.7692026
"209",1420,150,56.81150477
"210",1419,150,63.58366818
"211",1418,150,110.4929674
"212",1449,151,79.6111957
"213",1448,151,86.82228539
"214",1447,151,72.14127778
"215",1446,151,41.14790468
"216",1455,152,117.9312134
"217",1454,152,139.3212552
"218",1453,152,104.3015541
"219",1452,152,190.1398223
"220",1451,152,70.35140564
"221",1415,153,65.95029341
"222",1457,154,103.163521
"223",1458,154,72.3297796
"224",1456,154,108.892138
"225",1444,155,72.83160416
"226",1443,155,148.6635378
"227",1445,156,76.61089566
"228",1461,157,122.4734694
"229",1460,157,146.7095777
"230",1459,158,114.7797136
"231",1450,158,63.43605349
"232",1430,159,183.4687417
"233",1432,159,114.0483055
"234",1431,159,58.16300978
"235",1436,160,168.8725338
"236",1435,160,88.01298116
"237",1434,160,118.6178425
"238",1433,160,155.2795677
"239",1439,161,88.05200607
"240",2008,165,509.9209038
"241",2011,165,509.9209038
"242",2014,165,509.9209038
"243",2016,166,3.589054228
"244",2007,166,677.7823084
"245",1997,167,165.6813306
"246",2011,167,1.288890406
"247",2008,168,1945.011332
"248",2014,168,1945.011332
"249",2015,168,1945.011332
"250",2016,168,1945.011332
"251",2008,169,141.5831531
"252",2011,169,141.5831531
"253",2016,169,141.5831531
"254",2006,170,31.76846246
"255",2005,170,37.8896376
"256",2003,170,0.314353652
"257",2004,170,42.65775117
"258",2008,171,1599.424229
"259",2009,171,1599.424229
"260",2013,171,1599.424229
"261",2014,171,1599.424229
"262",2015,171,1599.424229
"263",2009,172,399.1240044
"264",2014,172,399.1240044
"265",2003,173,381.6981797
"266",2009,174,625.288684
"267",2010,174,625.288684
"268",2012,174,625.288684
"269",1997,175,43.35917982
"270",2008,175,809.3594266
"271",2011,175,809.3594266
"272",2012,175,809.3594266
