SSN,SITE,SUBSITE,UNIT,NORTHING,EASTING,CXUNIT,MCXUNIT,OBSITOTS,OBSIWSTE,AREASITE,SHRDSTOT,AREASTRC,FLDWRK1,FLDWRK2,FLDWRK3,FLDWRK4,FLDWRK5,COLLYEAR,COLLQURT,LSTBUILD,BURIALS,MIDDEN,QNTSTONE,DSTSTONE,CUTSTONE,LAJAS,TEPETATE,ADOBE,XALNENE,CASCAJO,CONCRETE,PLSTRUNP,PLSTRPNT,BURNCLAY,ALMENA,BRNDSTRC,FLOORS,WALLS,DRAINS_ARCH,WALLFIXT,MURALS,COLUMNS,TALUDES,TABLEROS,SITUFLRS,TALUDSTN,WALLMATR,WALLFACE,INTRUSHD,HEIGHT,PMICARC1,MCTLARC1,XLMEARC1,OXTOARC1,PMICARC2,MCTLARC2,XLMEARC2,OXTOARC2,QUALCNST,PMICFNC1,MCTLFNC1,XLMEFNC1,OXTOFNC1,PMICFNC2,MCTLFNC2,XLMEFNC2,OXTOFNC2,PTTZCX1,MCTLCX1,XLMECX1,PTTZCX2,MCTLCX2,XLMECX2,PTTZCXFN,MCTLCXFN,XLMECXFN,PTTZRSFN,MCTLRSFN,XLMERSFN,PTTZTMFN,MCTLTMFN,XLMETMFN,PTTZCVFN,MCTLCVFN,XLMECVFN,XLMEOTFN,CXUNITN,MCXUNITN,PTTZMCX,MCTLMCX,XLMEMCX,PTTZMXFN,TLXLMXFN,XLMEMXFN,NHOODCHR,FRSTNDWL,WELLS,JAGUEYS,PUESTOS,MILPA,BARLEY,BEANS,CUTALFAL,UNCALFAL,NOPALES,MAGUEYS,FALLOWLD,UNCULTIV,CROPWATR,PLOWING,CULTPITS,LOOTPITS,ARCHEXCV,MISCPITS,QURRYING,CLRSTONE,LDLVLING,TERRACNG,DITCHING,ROADORRR,RCNTWALL,STONERWS,RCNTBLDG,DAM,JAGUEY,EROSION,SILTING,OBSCSITE,SLOPE,GSWKSHOP,OBWKSHOP,MANOS,METATES,MORTARS,PESTLES,PSMOOTHR,PLUMBBOB,FIXTWALL,FIREGODS,MSCSTNSC,HAMMERS,SLINGSTN,SMTHSTN,WHETSTN,PALETTES,CELTS,RWKDLAJA,ANVILS,DRAINS_MODERN,DRAINCVR,OTHERGS,OBSIKNIV,OBSIECCE,OBSIMGSC,BSLTTOOL,CHRTFRAG,QUARTZ,SLATETOT,SLATEPNT,ALABASTR,SERPENTN,JADE,WRKDBONE,SHELLTOT,SHELLWKD,FIGHEADS,PPATFIGS,PATLFIGS,TZACFIGS,MICCFIGS,TLAMFIGS,XOLAFIGS,METEFIGS,TOLTFIGS,AZTEFIGS,PUPPFIGS,SPINWHRL,SEALSTMP,EARSPOOL,WHISTLES,FLUTES,CERANWK1,CERANWK2,CERANWK3,CERANYR,CERANQT,FLDCWKSH,FLDCABUN,COATCAND,ATOYCAND,EXOLCAND,LXOLCAND,OTHPCLAS,PPATCNSR,PATLCNSR,TZACCNSR,OXTOCNSR,XOMECNSR,MAZACNSR,AZTECNSR,TLAMSMO,PATLCOML,TZACCOML,MICCCOML,TLAMCOML,OXTOCOML,PATLNUBB,APETNUBB,INSTNUBB,FLSHNUBB,ATOYNUBB,XOLANUBB,METENUBB,STMPSHRD,PLRFSHRD,STCCSHRD,INCISHRD,FRNSHTOT,LOWMAYA,HIGHMAYA,HUASTEC,TAJIN,GULFCST,MONTEALB,OAXACA,OTHFRN,ADORNOS,MINIATUR,COPAS,MATTWARE,GRANTOTS,PMICGRAN,MICCGRAN,TLAMGRAN,XOLAGRAN,METEGRAN,CERADISK,SOBSIWK1,SOBSIWK2,KCERAWKS,BFIGCONC,INSUBSTR,QUALBND,OBSIBLDS,OBSISCRP,OBSIPNTS,OBSICORS,OBSIUFLK,OBSINODS,BSLTTOTS,FIGUTOTS,CANDTOTS,METECAND,COMMCAND,BRN3PRNG,HANDCOVR,CUANALAN,TEZOYUCA,PATLACHI,TZACUALL,MICCAOTL,TLAMIMIL,XOLALPAN,METEPEC,OXTOTIPA,XOMETLA,MAZAPAN,AZTEC,CNSRTOTS,MICCCNSR,TLAMCNSR,XOLACNSR,METECNSR,THNOTOTS,REGTHNO,CRSTHNO,SMOTOTS,XOLASMO,METESMO,OLLATOT,PATLOLLA,WDGROLLA,MICCOLLA,TLAMOLLA,XOLAOLLA,METEOLLA,COMLTOTS,XOLACOML,METECOML,POXTCOML,NUBBTOTS
1,1,NONE,N2W8,63,-356,XXXX,XXXX,21,0,770,229,1848,4,6,10,12,-1,64,3,4,0,0,5,2,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,5,2,4,4,20,77,77,77,77,2,3,2,2,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,0,0,0,0,10,-1,-1,70,1,0,5,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,8,7,4,2,0,0,2,14,3,-1,2,0,0,2,0,10,34,22,79,14,0,0,29,7,29,5,3,2,0,0,2,2,0,4,-1,-1,51,0,8,2,40,1,0,1,0,0,0,4
2,2,NONE,N2W8,54,-352,XXXX,XXXX,35,4,630,240,-1,4,6,10,12,-1,64,3,2,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,-1,-1,70,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,20,8,3,0,0,0,0,7,0,0,0,2,0,5,0,46,51,17,4,10,0,0,16,13,72,3,2,1,0,0,3,2,1,5,5,0,31,0,11,4,15,1,0,1,0,1,0,3
3,3,NONE,N2W8,93,-366,XXXX,XXXX,43,16,800,537,0,5,6,10,11,12,64,3,1,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,20,20,20,77,77,77,77,1,1,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,-1,-1,70,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,7,2,0,0,2,5,0,0,0,0,0,30,0,310,123,0,4,0,0,5,2,6,56,0,0,0,0,0,1,1,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0
4,4,NONE,N2W8,99,-355,XXXX,XXXX,17,3,429,157,0,5,6,10,11,12,64,3,1,0,0,7,3,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,20,20,20,77,77,77,77,1,1,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,70,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,1,0,0,0,0,0,0,0,67,39,0,2,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5,5,NONE,N2W8,95,-360,XXXX,XXXX,8,1,40,37,0,5,6,10,11,12,64,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,20,20,20,77,77,77,77,1,1,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,70,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
6,6,NONE,N2W8,93,-357,XXXX,XXXX,9,1,165,42,0,5,6,10,11,12,64,3,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,3,20,20,20,77,77,77,77,1,1,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,-1,-1,70,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,1,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
7,L 1,NONE,N2W8,51,-374,XXXX,XXXX,-1,0,124,40,-1,2,4,11,13,-1,64,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,20,20,20,20,77,77,77,77,-1,41,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,3,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,71,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0
8,L 2,NONE,N2W8,58,-369,XXXX,XXXX,51,8,700,203,-1,4,6,10,12,-1,64,3,1,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,19,20,20,20,-1,-1,-1,-1,-1,1,41,41,41,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,-1,-1,70,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,-1,26,10,5,0,0,0,2,7,0,0,0,0,0,0,0,28,40,0,8,7,0,0,0,6,112,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
9,L 3,NONE,N2W8,79,-365,XXXX,XXXX,16,1,800,89,-1,4,6,11,12,-1,64,3,0,0,0,7,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,9,19,20,20,20,-1,0,77,77,-1,1,41,41,41,-1,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,-1,-1,70,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,7,5,2,0,0,0,0,7,0,0,0,0,0,0,0,6,11,0,0,0,0,0,5,4,62,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,L 4,NONE,N2W8,76,-373,XXXX,XXXX,37,2,325,44,-1,5,6,10,11,12,64,3,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,20,20,20,20,77,77,77,77,-1,41,41,41,41,77,77,77,77,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,10,-1,-1,70,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,-1,22,9,4,0,0,0,0,1,0,0,0,0,0,1,0,6,8,0,0,4,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
