"","SSN","site","subsite","unit","XLMEFNC1","description","2020Hierarchy","ZArch1_MCTL","ZArch1_OXTO","ZArch1_PMIC","ZArch1_XLME","ZArch2_MCTL","ZArch2_OXTO","ZArch2_PMIC","ZArch2_XLME","ZFunc1_MCTL","ZFunc1_OXTO","ZFunc1_PMIC","ZFunc1_XLME","ZFunc2_MCTL","ZFunc2_OXTO","ZFunc2_PMIC","ZFunc2_XLME","H2020_1_XLME","H2020_2_XLME","H2020_3_XLME","Workshop_2020"
"1",1,"1","NONE","N2W8",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"2",2,"2","NONE","N2W8",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"3",3,"3","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"4",4,"4","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"5",5,"5","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"6",6,"6","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"7",7,"L 1","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"8",8,"L 2","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,-1,-1,-1,-1,41,41,1,41,-1,-1,-1,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"9",9,"L 3","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,0,77,-1,77,41,41,1,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"10",10,"L 4","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"11",11,"L 5","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,77,77,-1,77,41,41,-1,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"12",12,"L 6","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,-1,77,41,41,41,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"13",13,"L 7","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"14",14,"L 8","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"15",15,"L 9","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,77,77,-1,77,41,41,-1,41,77,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"16",16,"L10","NONE","N2W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,19,20,-1,77,-1,-1,41,41,-1,41,-1,77,-1,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"17",17,"1","NONE","N1W8",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"18",18,"2","NONE","N1W8",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"19",19,"3","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,19,20,3,77,3,77,39,41,39,41,1,77,1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"20",20,"4","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,19,20,3,77,3,77,39,41,39,41,1,77,1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"21",21,"5","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"22",22,"6","NONE","N1W8",39,"cultivated field","Cultivated Field",19,20,19,19,77,77,77,77,39,41,39,39,77,77,77,77,"Open Space","Old Fields","Cultivated Field","-1"
"23",23,"7","NONE","N1W8",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"24",24,"8","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"25",25,"9","NONE","N1W8",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",19,20,3,19,-1,77,77,-1,41,41,1,41,-1,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
