"code","description"
-1,"missing data"
0,"site is not part of a complex"
1,"row of two or more mounds on a long mound"
2,"3-mound complex (sometimes with additional minor features)"
3,"4-mound complex"
4,"several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex"
5,"group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry"
6,"walled open area complex (large compound)"
7,"single mound plus platform on terrace"
8,"site is part of a macrocomplex but no meaningful complex"
9,"other"
