code,description
1,René Millon
2,Bruce Drewitt
3,James A. Bennyhoff
4,Pedro Baños
5,George L. Cowgill
6,Michael W. Spence
7,Matthew Wallrath
8,Joseph D. Marino
9,Warren T. D. Barbour
10,Arnulfo de Lucio
11,José de Lucio
12,Darlena K. Blucher
13,Daniel W. Hungerford
14,Donald R. Sutherland
15,S. Jeffrey K. Wilkerson
16,Steve M. Sharnoff
17,Silvestre Sánchez
18,Charles K. Fletcher
19,Charles C. Kolb
20,Clara Millon
21,Wendy Drewitt
22,James W. Dow
23,Mario de Lucio
24,Paul Shankman
25,Chris D. Dodds
26,G. Raymond Krotser
27,A. Jane Quisenberry
28,Michael S. West
29,Dan B. Bruhns
30,Karen O. Bruhns
31,Silvia G. Duran
32,Erica West
