"SSN","collectionYear","collectionQuarter","analysisYear","analysisQuarter"
1,64,3,70,1
2,64,3,70,1
3,64,3,70,1
4,64,3,70,1
5,64,3,70,1
6,64,3,70,1
7,64,3,71,1
8,64,3,70,1
9,64,3,70,1
10,64,3,70,1
11,64,3,64,3
12,64,3,70,1
13,64,3,70,1
14,64,-1,70,1
15,64,3,70,1
16,64,3,70,1
17,64,3,-1,-1
18,64,3,-1,-1
19,64,3,64,4
20,64,3,64,-1
21,64,3,64,-1
22,64,3,64,-1
23,64,3,64,3
24,64,3,64,3
25,-1,-1,64,-1
26,64,3,66,4
27,66,1,66,1
28,64,3,66,4
29,64,3,-1,-1
30,64,3,66,4
31,64,3,66,4
32,64,3,66,4
33,64,3,-1,-1
34,64,3,66,4
35,64,3,66,4
36,64,3,66,4
37,64,3,66,4
38,63,3,70,4
39,63,3,70,4
40,63,3,70,4
41,63,3,70,4
42,63,3,70,4
43,63,3,71,1
44,63,3,71,1
45,63,3,71,1
46,63,3,70,4
47,63,3,70,4
48,66,3,66,3
49,66,3,66,3
50,66,3,66,3
51,66,3,66,3
52,66,3,66,3
53,66,3,66,3
54,66,3,66,3
55,66,3,66,3
56,66,3,66,3
57,66,3,66,3
58,66,3,66,3
59,66,3,66,3
60,66,3,66,3
61,63,3,63,3
62,63,3,63,3
63,63,3,63,3
64,67,3,66,3
65,63,3,63,3
66,63,3,63,3
67,63,3,63,3
68,63,3,63,3
69,63,3,63,3
70,63,3,63,3
71,66,3,66,3
72,66,3,66,3
73,66,3,66,3
74,66,3,66,3
75,66,3,66,3
76,66,3,66,3
77,66,3,66,3
78,66,3,66,3
79,66,3,66,3
80,66,3,66,3
81,66,3,66,3
82,66,3,66,3
83,66,3,66,3
84,66,3,66,3
85,66,3,66,3
86,64,3,70,1
87,64,3,70,1
88,64,3,70,1
89,64,3,70,1
90,64,3,70,1
91,64,3,70,1
92,64,3,70,1
93,64,3,70,1
94,64,3,70,1
95,64,3,70,1
96,64,3,70,1
97,64,3,70,1
98,64,3,70,1
99,64,3,70,1
100,64,3,70,1
101,63,3,71,4
102,66,3,66,3
103,64,3,70,1
104,64,3,70,1
105,64,3,70,1
106,64,3,70,1
107,64,3,70,1
108,64,3,66,4
109,64,3,66,4
110,64,3,66,4
111,64,3,66,4
112,64,3,66,4
113,64,3,66,4
114,64,3,66,4
115,64,3,66,4
116,64,3,64,4
117,66,1,66,1
118,66,1,66,1
119,64,3,-1,-1
120,64,3,-1,-1
121,64,3,66,4
122,64,3,66,4
123,64,3,66,4
124,64,3,66,4
125,64,4,66,4
126,64,3,66,4
127,64,3,66,4
128,64,3,66,4
129,64,3,66,4
130,64,3,66,4
131,64,3,66,4
132,64,3,66,4
133,64,3,66,4
134,64,3,66,4
135,64,4,66,4
136,64,3,66,4
137,64,3,66,4
138,64,3,66,4
139,64,3,66,4
140,64,3,66,4
141,63,3,70,4
142,63,3,70,4
143,63,3,70,4
144,63,3,70,4
145,63,3,70,4
146,63,3,70,4
147,63,4,70,4
148,63,4,70,4
149,63,3,70,4
150,63,3,63,3
151,66,3,66,3
152,66,3,66,3
153,66,3,66,3
154,66,3,66,3
155,66,3,66,3
156,66,3,66,3
157,66,3,66,3
158,66,3,66,3
159,66,3,66,3
160,66,3,66,3
161,66,3,66,3
162,66,3,66,3
163,66,3,66,3
164,66,3,66,3
165,63,3,63,3
166,63,3,63,3
167,63,3,63,3
168,63,3,63,3
169,63,3,63,3
170,63,3,63,3
171,63,3,63,3
172,63,3,63,3
173,63,3,63,3
174,63,3,63,3
175,63,3,63,3
176,63,3,63,3
177,63,3,63,3
178,63,3,63,3
179,63,3,63,3
180,63,3,63,3
181,63,3,63,3
182,63,3,63,3
183,63,3,63,3
184,63,3,63,3
185,63,3,63,3
186,63,3,63,3
187,63,3,70,2
188,63,3,63,3
189,63,3,63,3
190,63,3,63,3
191,63,3,63,3
192,63,3,63,3
193,63,3,63,3
194,63,3,63,3
195,63,3,63,3
196,63,3,63,3
197,63,3,63,3
198,63,3,63,3
199,63,3,63,3
200,63,3,63,3
201,63,3,63,3
202,63,3,63,3
203,63,4,70,2
204,63,4,70,3
205,63,4,70,3
206,63,4,63,4
207,63,4,63,4
208,63,4,63,4
209,63,4,63,4
210,63,4,63,4
211,63,4,63,4
212,63,4,63,4
213,63,3,70,2
214,63,3,63,3
215,63,3,70,2
216,63,3,70,3
217,63,4,63,4
218,63,4,63,4
219,63,4,63,4
220,63,4,63,4
221,63,3,63,3
222,63,3,63,3
223,63,3,63,3
224,63,3,63,3
225,63,4,63,4
226,63,3,63,3
227,63,4,63,4
228,63,3,63,3
229,63,4,63,4
230,63,3,63,3
231,63,3,63,3
232,63,4,63,4
233,63,3,63,3
234,63,4,63,4
235,63,3,63,3
236,63,4,63,4
237,63,3,63,3
238,63,3,63,3
239,63,4,63,4
240,63,2,63,3
241,63,4,63,4
242,63,3,63,3
243,63,4,63,4
244,63,3,63,3
245,63,3,63,3
246,63,4,63,4
247,63,3,63,3
248,63,3,63,3
249,63,4,63,4
250,63,3,63,3
251,63,4,63,4
252,63,3,63,3
253,63,4,63,4
254,63,3,63,3
255,63,4,63,4
256,63,4,63,4
257,63,4,63,4
258,63,4,63,4
259,63,4,63,4
260,63,4,63,4
261,63,4,63,4
262,63,4,63,4
263,63,4,63,4
264,63,4,63,4
265,63,4,63,4
266,63,4,63,4
267,63,4,63,4
268,63,4,63,4
269,63,4,63,4
270,63,4,63,4
271,63,4,63,4
272,63,4,63,4
273,63,4,63,4
274,63,4,63,4
275,63,4,63,4
276,63,4,63,4
277,63,4,63,4
278,63,4,63,4
279,63,4,63,4
280,63,4,63,4
281,63,4,63,4
282,63,4,63,4
283,63,4,63,4
284,63,4,63,4
285,63,4,63,4
286,63,4,63,4
287,63,4,63,4
288,63,4,63,4
289,63,4,63,4
290,63,4,63,4
291,63,4,63,4
292,63,4,63,4
293,63,4,63,4
294,63,4,63,4
295,63,4,63,4
296,63,4,63,4
297,63,4,63,4
298,63,4,63,4
299,63,4,63,4
300,63,4,63,4
301,63,4,63,3
302,63,4,63,4
303,63,4,63,4
304,63,4,63,4
305,63,4,63,4
306,66,4,66,4
307,66,4,66,4
308,64,3,66,4
309,64,3,67,2
310,64,3,66,4
311,64,3,66,4
312,64,3,66,4
313,64,3,66,4
314,64,3,66,4
315,64,3,66,4
316,64,3,66,4
317,64,3,66,4
318,66,1,66,1
319,66,1,66,1
320,66,1,66,1
321,66,1,66,1
322,64,3,66,4
323,64,3,64,4
324,64,3,66,4
325,64,3,66,4
326,64,3,66,4
327,64,3,66,4
328,64,3,66,4
329,66,1,66,1
330,66,1,66,1
331,66,1,66,1
332,66,1,66,1
333,66,1,66,1
334,66,1,66,1
335,66,1,66,1
336,66,1,66,1
337,66,1,66,4
338,66,1,66,1
339,66,1,66,1
340,66,1,66,1
341,66,1,66,1
342,66,1,66,1
343,66,1,66,1
344,64,3,66,4
345,64,3,66,4
346,64,3,66,4
347,64,3,66,4
348,66,1,66,1
349,66,1,66,1
350,66,1,66,1
351,66,1,66,1
352,66,1,66,1
353,62,3,68,1
354,62,3,68,1
355,63,3,70,4
356,63,3,70,4
357,63,3,70,2
358,63,3,70,4
359,63,3,70,4
360,63,3,70,4
361,63,3,70,4
362,63,3,70,3
363,63,3,70,4
364,63,3,70,4
365,63,3,70,4
366,63,3,70,4
367,63,3,70,4
368,63,3,70,4
369,63,3,70,4
370,63,3,70,3
371,63,3,70,4
372,63,3,70,4
373,63,3,70,4
374,66,3,66,3
375,66,3,66,3
376,66,3,66,3
377,66,3,66,3
378,66,3,66,3
379,66,3,66,3
380,66,3,63,3
381,66,3,66,3
382,66,3,66,3
383,63,3,67,1
384,63,3,67,1
385,63,3,67,1
386,63,3,66,1
387,63,3,67,1
388,63,3,66,3
389,66,3,66,3
390,66,3,66,3
391,62,3,71,4
392,66,3,66,3
393,66,3,66,3
394,66,3,66,3
395,62,3,66,1
396,66,3,66,3
397,66,3,66,3
398,66,3,66,3
399,66,3,66,3
400,66,3,66,3
401,66,3,66,3
402,66,3,66,3
403,66,3,66,3
404,66,3,66,3
405,66,3,66,3
406,66,3,66,3
407,66,3,66,3
408,66,3,66,3
409,66,3,66,3
410,66,3,66,3
411,66,3,66,3
412,66,3,66,3
