"SSN","neighborhoodChar","constructQual","boundInfoQual","insubstantialCount","arch1PMic","arch1McTl","arch1XlMe","arch1Oxto","arch2PMic","arch2McTl","arch2XlMe","arch2Oxto","func1PMic","func1McTl","func1XlMe","func1Oxto","func2PMic","func2McTl","func2XlMe","func2Oxto"
1,1,2,-1,-1,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
2,1,-1,-1,-1,19,19,19,20,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1
3,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
4,1,1,0,0,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
5,1,1,2,1,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
6,1,1,2,1,3,20,20,20,77,77,77,77,1,41,41,41,77,77,77,77
7,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77
8,1,-1,-1,-1,19,20,20,20,-1,-1,-1,-1,1,41,41,41,-1,-1,-1,-1
9,1,-1,-1,-1,19,20,20,20,-1,-1,77,77,1,41,41,41,-1,77,77,77
10,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77
11,1,-1,-1,-1,19,20,20,20,-1,77,77,77,-1,41,41,41,-1,77,77,77
12,1,-1,-1,-1,20,20,20,20,-1,77,77,77,41,41,41,41,-1,77,77,77
13,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77
14,1,-1,-1,-1,20,20,20,20,77,77,77,77,41,41,41,41,77,77,77,77
15,1,-1,-1,-1,19,20,20,20,-1,77,77,77,-1,41,41,41,-1,77,77,77
16,1,-1,-1,-1,19,20,20,20,-1,-1,-1,77,-1,41,41,41,-1,-1,-1,77
17,7,2,0,0,2,4,4,20,77,77,77,77,3,2,2,41,77,77,77,77
18,7,-1,1,0,2,4,4,20,-1,-1,-1,-1,3,2,2,41,-1,-1,-1,-1
19,7,-1,-1,-1,19,19,20,20,3,3,77,77,39,39,41,41,1,1,77,77
20,7,-1,-1,-1,19,19,20,20,3,3,77,77,39,39,41,41,1,1,77,77
21,7,1,0,0,3,3,20,20,77,77,77,77,1,1,41,41,77,77,77,77
22,7,-1,-1,-1,19,19,19,20,77,77,77,77,39,39,39,41,77,77,77,77
