"SSN","totAll","totPrec","totCuan","totTezo","totPatl","totTzac","totMicc","totTlam","totXola","totMete","totOxto","totXome","totMaza","totAzte"
1,229,0,2,0,10,34,22,79,14,0,0,29,7,29
2,240,0,5,0,46,51,17,4,10,0,0,16,13,72
3,537,0,30,0,310,123,0,4,0,0,5,2,6,56
4,157,0,0,0,67,39,0,2,0,0,0,0,3,46
5,37,0,0,0,11,17,0,0,0,0,0,0,0,9
6,42,0,0,0,12,16,0,0,1,1,0,0,1,11
7,40,0,0,0,0,3,1,6,0,0,0,1,1,28
8,203,0,0,0,28,40,0,8,7,0,0,0,6,112
9,89,0,0,0,6,11,0,0,0,0,0,5,4,62
10,44,0,1,0,6,8,0,0,4,0,0,2,0,22
11,116,0,1,0,28,35,0,1,1,0,0,4,10,36
12,148,0,1,0,14,5,0,5,0,0,7,24,37,52
13,28,0,0,0,4,7,0,4,0,0,0,5,0,8
14,35,0,0,0,2,0,0,3,0,0,0,0,3,27
15,71,0,0,0,13,15,0,3,2,0,0,6,6,26
16,107,0,2,0,25,19,0,7,6,0,0,12,3,33
17,208,0,0,0,4,10,21,41,23,3,1,4,9,53
18,192,0,0,0,5,13,6,36,13,7,3,5,6,79
19,-1,0,0,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,0,0,0,2,5,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,0,0,1,3,6,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,0,5,0,9,8,-1,-1,-1,-1,-1,-1,-1,-1
23,161,0,0,0,29,24,10,29,14,1,5,5,24,6
24,-1,0,0,0,9,6,-1,-1,-1,-1,-1,-1,-1,-1
25,63,0,1,0,8,24,0,4,0,0,1,0,2,6
26,324,0,0,0,4,16,4,12,6,8,3,9,205,34
27,86,0,0,0,0,6,6,0,5,0,0,16,17,5
28,43,0,0,0,0,4,0,6,0,0,0,1,1,30
29,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,3,0,0,0,0,-1,0,2,0,0,0,1,0,-1
31,42,0,0,0,14,24,2,0,0,0,1,0,0,1
32,34,0,0,0,0,2,0,7,0,0,2,0,0,19
33,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
34,70,0,10,0,10,30,0,0,0,0,0,0,0,0
35,35,0,4,0,11,20,0,0,0,0,0,-1,0,0
36,354,0,0,0,5,2,0,0,2,0,6,0,289,30
37,193,0,0,0,0,5,0,2,4,0,8,12,144,13
38,133,0,9,0,43,26,0,0,0,0,7,5,3,40
39,29,0,0,0,7,8,2,0,0,0,0,0,0,12
40,75,0,2,0,8,3,0,0,0,0,0,0,0,62
41,71,0,1,0,14,15,0,0,0,0,0,2,0,40
