"SSN","milpa","barley","beans","alfalfaCut","alfalfaUncut","nopales","magueys","fallow","uncultivate","cropWater","plowing","pitCultivate","pitLoot","pitMisc","archaeoExcRest","quarrying","stoneClearing","landLeveling","terracing","ditching","roadOrRail","recentWall","stoneRows","recentBuild","dam","jaguey","erosion","silting","siteAlteration"
1,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
3,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
4,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
5,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
7,3,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
8,0,0,3,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2
10,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
11,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
12,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
13,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
14,0,0,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
15,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
16,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0
17,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18,3,0,3,0,0,3,3,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0
