"SSN","midden","burials","height","slope","areaSite","areaStruct","lastBuildPhase","ceramicAbundance","intrusiveSherd"
1,0,0,5,1,770,1848,4,5,1
2,0,0,0,1,630,-1,2,5,1
3,0,0,0,1,800,0,1,7,1
4,0,0,0,1,429,0,1,5,1
5,0,0,0,1,40,0,0,2,1
6,0,0,0,1,165,0,0,3,1
7,0,0,0,1,124,-1,0,3,1
8,0,0,0,1,700,-1,1,4,1
9,0,0,9,1,800,-1,0,4,1
10,0,0,0,1,325,-1,0,3,1
11,0,0,0,1,450,-1,1,4,1
12,0,0,0,1,496,-1,0,5,1
13,0,0,0,1,700,-1,0,3,1
14,0,0,0,1,320,-1,0,2,1
15,0,0,0,1,420,-1,0,3,1
16,0,0,0,1,490,-1,4,3,1
17,0,0,5,1,350,2378,4,5,2
18,0,0,11,2,400,1512,4,5,2
19,0,0,3,2,209,-1,0,3,2
20,0,0,0,2,252,-1,0,3,2
21,0,0,0,2,384,120,0,3,2
22,0,0,3,2,209,-1,0,5,1
23,0,0,0,2,313,0,4,3,0
24,0,0,5,2,204,0,0,3,0
25,0,0,2,2,76,0,0,3,1
26,0,0,4,2,612,912,4,5,1
27,0,0,-1,2,200,1152,0,3,1
28,0,0,5,3,294,-1,0,4,1
29,0,-1,0,2,1070,-1,0,3,2
30,0,-1,0,3,490,-1,0,4,2
31,0,0,0,3,4048,-1,0,4,2
32,0,0,-1,3,22,-1,0,3,3
33,-1,-1,4,3,348,-1,0,1,1
34,-1,-1,5,3,140,-1,0,1,1
35,-1,-1,9,3,336,0,0,3,1
36,0,0,0,3,454,-1,0,5,1
37,0,0,5,3,558,-1,0,4,1
38,0,0,10,3,98,0,0,6,1
39,0,0,0,3,125,0,0,1,1
40,0,0,0,3,148,0,0,7,1
41,0,0,10,3,133,0,0,5,1
42,0,0,0,3,706,0,0,4,1
43,0,0,0,3,432,0,0,3,1
44,0,0,0,3,927,0,0,5,1
45,0,0,0,3,892,0,1,7,1
46,0,0,10,3,750,676,0,0,1
47,0,0,0,3,475,0,0,4,1
48,0,0,0,3,1067,0,0,4,1
49,0,0,0,3,1234,0,1,0,1
50,0,0,0,3,1680,0,1,5,1
51,0,0,0,3,385,0,0,3,1
52,0,0,0,3,295,0,0,5,1
53,0,0,0,3,598,0,0,4,1
54,0,0,0,3,829,0,1,4,1
55,0,0,0,3,1189,0,1,2,1
56,0,0,0,3,630,0,0,4,1
57,0,0,0,3,442,0,0,3,1
58,0,0,0,3,576,0,0,4,1
59,0,0,0,3,637,0,1,4,1
60,0,0,0,3,416,0,0,3,2
61,0,0,1,1,107,988,0,3,1
62,0,0,5,1,52,400,0,5,1
63,0,0,10,1,151,0,3,3,1
64,0,0,0,1,941,0,1,3,1
65,0,0,20,1,476,1500,4,4,1
66,0,0,5,1,166,506,0,4,1
67,0,0,20,1,98,352,4,4,1
68,0,0,0,1,150,384,5,5,1
69,0,0,5,1,278,0,4,4,1
70,0,0,5,1,186,364,4,4,1
71,0,0,0,1,576,0,0,3,2
72,0,0,0,1,522,0,3,3,1
73,0,0,0,1,684,0,1,4,1
74,0,0,0,1,710,0,1,4,1
75,0,0,0,1,1054,0,1,2,1
76,0,0,0,1,140,0,1,6,1
77,0,0,0,1,150,0,1,5,1
78,0,0,0,1,514,0,1,5,1
79,0,0,0,1,762,0,1,7,1
80,0,0,0,1,874,0,1,7,1
81,0,0,0,1,1032,0,1,4,1
82,0,0,0,1,636,0,1,7,1
83,0,0,0,1,272,0,1,5,2
84,0,0,0,1,266,0,1,6,1
85,0,0,0,1,430,0,1,2,2
86,0,0,5,3,576,2162,4,4,1
87,0,0,15,3,365,1440,4,5,1
88,0,0,0,3,287,870,3,5,1
89,0,0,0,3,240,784,4,5,1
90,0,0,-1,3,144,0,4,4,1
91,0,0,5,3,79,462,4,6,1
92,0,0,0,3,136,952,3,6,1
93,0,0,0,3,200,182,3,5,1
94,0,0,0,3,132,0,3,5,1
95,0,0,0,3,288,0,4,3,1
96,0,0,0,3,266,0,0,3,1
97,0,0,0,3,544,0,3,4,1
98,0,0,0,3,1500,0,3,3,1
99,0,0,0,3,1040,0,3,3,1
100,0,0,0,3,1392,0,3,3,1
101,0,-1,0,3,270,336,5,5,1
102,0,0,11,3,227,1640,4,5,1
103,0,0,0,3,446,0,3,5,1
104,0,0,0,3,1072,-1,3,1,1
105,0,0,0,3,1608,-1,1,3,1
106,0,0,0,3,499,-1,0,3,1
107,0,0,0,3,918,-1,0,3,1
108,0,0,0,2,520,0,4,5,1
109,0,0,0,2,386,1900,4,3,1
110,0,0,0,2,2520,0,4,1,1
111,0,0,5,3,348,3420,4,4,1
112,0,0,0,2,312,0,4,5,1
113,0,0,9,2,970,5310,4,6,1
114,0,0,0,2,646,3364,4,7,1
115,0,0,9,2,682,2484,4,4,1
116,0,0,0,1,972,132,3,5,1
117,0,0,-1,1,601,0,4,4,1
118,0,0,0,3,786,0,4,5,1
119,0,0,5,3,676,0,4,3,2
120,0,-1,0,2,805,0,0,3,2
121,0,-1,0,2,416,0,0,3,2
122,0,0,0,2,800,120,3,3,2
123,0,-1,0,2,302,0,0,3,2
124,0,-1,0,1,1500,0,0,3,2
125,0,-1,0,2,743,-1,0,1,2
126,0,0,0,2,378,-1,0,3,2
127,0,-1,0,2,2460,-1,0,1,2
128,0,0,0,1,736,0,0,3,2
129,0,0,5,1,527,0,0,2,2
130,0,0,0,2,534,0,3,3,2
131,0,0,0,2,918,0,0,1,2
132,0,0,0,1,400,0,0,3,2
133,0,-1,0,2,972,0,0,3,2
134,0,-1,0,2,1038,0,0,3,2
135,-1,-1,0,2,226,0,0,1,2
136,0,0,0,2,526,0,0,5,2
137,0,-1,0,2,258,-1,0,1,2
138,0,-1,5,2,176,-1,0,5,2
139,0,-1,0,2,1163,-1,0,1,2
140,0,0,0,2,542,0,4,4,2
141,0,0,0,2,4680,0,1,6,1
142,0,0,0,2,1400,0,0,6,1
143,0,0,0,2,800,0,1,6,1
144,0,0,5,2,493,0,0,5,1
145,0,0,-1,2,160,0,6,7,1
146,0,0,10,2,427,0,0,6,1
147,0,0,7,2,370,0,0,4,1
148,0,0,5,2,624,0,0,6,1
149,0,0,10,2,556,0,0,5,1
150,0,0,20,2,186,0,0,3,1
151,0,0,0,2,412,0,1,3,1
152,0,0,0,2,938,0,1,6,1
153,0,0,0,2,774,0,0,3,1
154,0,0,0,2,1524,0,1,3,1
155,0,0,0,2,152,0,1,4,1
156,0,0,0,2,826,0,0,2,1
157,0,0,0,2,1440,0,2,4,1
158,0,0,0,2,836,0,0,3,1
159,0,0,0,2,495,0,3,6,1
160,0,0,0,2,773,0,3,4,1
161,0,0,0,2,600,0,0,2,1
162,0,0,0,2,720,-1,0,2,2
163,0,0,0,0,528,-1,0,3,2
164,0,0,0,2,602,-1,0,1,2
165,0,0,40,3,80,621,0,1,1
166,0,0,15,3,30,672,4,5,1
167,0,0,10,3,28,168,1,1,1
168,0,0,0,3,197,2016,0,1,1
169,0,0,0,3,160,-1,0,1,1
170,0,0,10,3,248,0,4,7,1
171,0,0,10,3,36,1634,4,5,1
172,0,0,5,3,65,616,4,5,1
173,0,0,5,3,54,476,0,1,1
174,0,0,10,3,120,576,0,5,1
175,0,0,30,3,115,664,0,5,1
176,0,0,5,3,90,480,0,4,1
177,0,0,0,3,127,0,4,3,1
178,0,0,0,3,390,0,2,5,1
179,0,0,10,3,115,432,5,7,1
180,0,0,10,3,79,0,4,5,1
181,0,0,0,3,1154,0,1,1,1
182,0,0,10,3,155,754,5,7,1
183,0,0,5,3,67,0,0,5,1
184,0,0,0,3,346,0,0,1,1
185,0,0,2,3,319,0,0,4,1
186,0,0,2,3,118,0,0,1,1
187,0,0,0,3,636,0,1,7,1
188,0,0,0,3,2160,0,3,3,1
