SSN,labAnalysts
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,3
18,3
19,11
20,3
21,3
22,3
23,3
24,3
25,3
26,4
26,11
27,4
27,10
28,4
28,11
30,4
30,11
31,4
31,11
32,4
32,11
34,4
34,11
35,4
35,11
36,4
36,11
37,4
37,11
38,10
39,10
40,10
41,10
42,10
43,9
44,9
45,10
46,10
47,10
48,4
48,17
49,4
49,17
50,4
50,17
51,4
51,17
52,4
52,17
53,4
53,17
54,4
54,17
55,4
55,17
56,4
56,17
57,4
57,17
58,4
58,17
59,4
59,17
60,4
60,17
61,2
61,4
61,10
62,2
62,4
62,10
63,2
63,4
63,10
64,2
64,4
64,17
65,2
65,4
65,10
66,2
66,4
66,10
67,2
67,4
67,10
68,2
68,4
68,10
69,2
69,4
69,10
70,2
70,4
70,10
71,4
71,17
72,4
72,17
73,4
73,17
74,4
74,17
75,4
75,17
76,4
76,17
77,4
77,17
78,4
78,17
79,4
79,17
80,4
80,17
81,4
81,17
82,4
82,17
83,4
83,17
84,4
84,17
85,4
85,17
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,4
102,17
103,10
104,10
105,10
106,10
107,10
108,11
109,11
110,11
111,11
112,11
113,11
114,11
115,11
116,3
117,4
117,10
117,16
118,4
118,10
118,16
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,11
129,11
130,11
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,11
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,4
151,17
152,4
152,17
153,4
153,17
154,4
154,17
155,4
155,17
156,4
156,17
157,4
157,17
158,4
158,17
159,4
159,10
160,4
160,17
161,4
161,17
162,4
162,17
163,4
163,17
164,4
164,17
165,3
165,6
165,11
166,3
166,6
166,11
167,3
167,6
167,10
168,3
168,6
168,10
169,3
169,6
169,10
170,3
170,10
170,12
171,3
171,10
171,12
172,3
172,10
172,12
173,3
173,10
173,12
174,3
174,10
174,12
175,3
175,10
175,12
176,3
176,10
176,12
177,3
177,10
177,12
178,2
178,3
178,4
179,3
179,10
179,12
180,3
180,6
180,10
181,3
181,6
181,10
182,3
182,10
182,12
183,3
183,10
183,12
184,3
184,10
184,12
185,3
185,10
185,12
186,3
186,10
186,12
