"SSN","obsidianTot","obsidianBlades","obsidianWaste","obsidianScrapers","obsidianPoints","obsidianCores","obsidianKnives","obsidianEccentrics","obsidianMagueyS","obsidianUtFlake","obsidianNodules","basaltTot","basaltTools","chert","quartz"
1,21,8,0,7,4,2,0,0,0,0,0,2,0,0,0
2,35,20,4,8,3,0,0,0,0,0,0,0,0,0,0
3,43,12,16,8,7,2,0,0,0,0,0,2,1,0,0
4,17,8,3,3,2,0,0,0,0,0,0,0,0,0,0
5,8,5,1,2,0,0,0,0,0,0,0,0,0,0,0
6,9,6,1,0,2,0,0,0,0,0,0,0,0,0,0
7,-1,-1,0,-1,0,0,0,0,0,0,0,2,0,0,0
8,51,26,8,10,5,0,0,0,0,0,0,2,0,0,0
9,16,7,1,5,2,0,0,0,0,0,0,0,0,0,0
10,37,22,2,9,4,0,0,0,0,0,0,0,0,0,0
11,39,17,5,8,9,0,0,0,0,0,0,0,0,0,0
12,27,6,3,17,1,0,0,0,0,0,0,0,0,0,0
13,13,4,1,5,0,3,0,0,0,0,0,0,0,0,0
14,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
15,11,4,1,6,0,0,0,0,0,0,0,0,0,0,0
16,9,3,1,4,0,0,1,0,0,0,0,0,0,0,0
17,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
18,11,2,0,7,2,0,0,0,0,0,0,0,0,2,0
19,3,0,0,0,3,0,0,0,0,0,0,-1,-1,0,-1
20,1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,-1
21,2,0,0,0,2,0,0,1,0,0,0,-1,-1,-1,0
22,2,0,0,0,2,0,0,0,0,0,0,-1,-1,0,0
23,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0
24,3,1,-1,0,1,0,0,0,0,0,0,-1,-1,0,0
25,7,5,0,2,0,0,0,0,0,0,0,2,2,0,0
26,-1,-1,0,-1,3,0,1,0,0,0,1,1,0,1,0
27,10,1,3,6,0,0,0,0,0,0,0,1,0,0,0
28,3,1,0,2,0,0,0,0,0,0,0,2,1,0,0
29,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0
30,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
31,6,0,0,0,5,0,1,0,0,0,0,1,0,0,0
32,-1,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0
33,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0
34,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,16,7,2,5,2,0,0,0,0,0,0,1,1,0,0
37,15,10,1,4,0,0,0,0,0,0,0,2,1,0,0
38,-1,10,-1,3,2,0,2,0,0,0,0,4,0,0,0
39,9,7,0,2,0,0,0,0,0,0,0,1,1,0,0
40,0,12,-1,3,1,0,0,0,0,0,0,0,0,0,0
41,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
42,20,7,0,5,2,1,0,0,0,0,0,1,1,0,0
43,24,26,0,23,6,0,4,0,0,0,0,-1,2,1,0
44,139,16,-1,25,4,3,1,0,0,0,0,-1,1,0,0
