"SSN","site","subsite","unit","northing","easting"
1,"1","NONE","N2W8",63,-356
2,"2","NONE","N2W8",54,-352
3,"3","NONE","N2W8",93,-366
4,"4","NONE","N2W8",99,-355
5,"5","NONE","N2W8",95,-360
6,"6","NONE","N2W8",93,-357
7,"L 1","NONE","N2W8",51,-374
8,"L 2","NONE","N2W8",58,-369
9,"L 3","NONE","N2W8",79,-365
10,"L 4","NONE","N2W8",76,-373
11,"L 5","NONE","N2W8",82,-358
12,"L 6","NONE","N2W8",88,-390
13,"L 7","NONE","N2W8",84,-372
14,"L 8","NONE","N2W8",77,-354
15,"L 9","NONE","N2W8",69,-352
16,"L10","NONE","N2W8",88,-367
17,"1","NONE","N1W8",41,-352
18,"2","NONE","N1W8",42,-365
19,"3","NONE","N1W8",37,-373
20,"4","NONE","N1W8",37,-357
21,"5","NONE","N1W8",32,-357
22,"6","NONE","N1W8",16,-369
23,"7","NONE","N1W8",17,-354
24,"8","NONE","N1W8",9,-354
25,"9","NONE","N1W8",36,-384
26,"10","N","N1W8",4,-375
27,"10","S","N1W8",-1,-375
28,"L 1","NONE","N1W8",47,-363
29,"L 2","NONE","N1W8",44,-373
30,"L 3","NONE","N1W8",37,-366
31,"L 4","NONE","N1W8",24,-365
32,"L 5","NONE","N1W8",37,-380
33,"L 6","NONE","N1W8",46,-385
34,"L 7","NONE","N1W8",40,-384
35,"L 8","NONE","N1W8",38,-389
36,"L 9","NONE","N1W8",4,-383
37,"L10","NONE","N1W8",3,-392
38,"1","NONE","N4W7",157,-304
39,"2","NONE","N4W7",152,-301
40,"3","NONE","N4W7",166,-304
41,"4","NONE","N4W7",166,-308
42,"5","NONE","N4W7",171,-310
43,"6","NONE","N4W7",178,-322
44,"7","NONE","N4W7",171,-328
45,"8","NONE","N4W7",173,-337
46,"9","NONE","N4W7",182,-345
47,"10","NONE","N4W7",180,-336
48,"11","NONE","N4W7",156,-317
49,"12","NONE","N4W7",154,-339
50,"13","NONE","N4W7",160,-327
51,"14","NONE","N4W7",172,-320
52,"15","NONE","N4W7",179,-329
53,"16","NONE","N4W7",163,-336
54,"17","NONE","N4W7",163,-345
55,"18","NONE","N4W7",172,-347
56,"19","NONE","N4W7",188,-341
57,"20","NONE","N4W7",195,-340
58,"21","NONE","N4W7",183,-301
59,"22","NONE","N4W7",176,-301
60,"L 1","NONE","N4W7",170,-300
61,"1","NONE","N3W7",120,-302
62,"2","NONE","N3W7",122,-304
63,"3","NONE","N3W7",118,-305
64,"4","NONE","N3W7",144,-321
65,"5","NONE","N3W7",113,-305
66,"6","NONE","N3W7",108,-309
67,"7","NONE","N3W7",108,-305
68,"8","NONE","N3W7",109,-302
69,"9","&10","N3W7",103,-305
70,"11","NONE","N3W7",105,-301
71,"12","NONE","N3W7",120,-316
72,"13","NONE","N3W7",110,-315
73,"14","NONE","N3W7",109,-322
74,"15","NONE","N3W7",119,-322
75,"16","NONE","N3W7",120,-310
76,"17","NONE","N3W7",146,-347
77,"18","NONE","N3W7",142,-336
78,"19","NONE","N3W7",136,-329
79,"20","NONE","N3W7",125,-329
80,"21","NONE","N3W7",110,-332
81,"22","NONE","N3W7",107,-344
82,"23","NONE","N3W7",125,-335
83,"24","NONE","N3W7",116,-336
84,"25","NONE","N3W7",120,-350
85,"26","NONE","N3W7",134,-343
86,"1","NONE","N2W7",51,-305
87,"2","NONE","N2W7",56,-306
88,"3","NONE","N2W7",61,-306
89,"4","NONE","N2W7",66,-306
90,"5","NONE","N2W7",70,-319
91,"6","NONE","N2W7",67,-319
92,"7","NONE","N2W7",69,-323
93,"8","NONE","N2W7",65,-323
94,"9","NONE","N2W7",65,-319
95,"10","NONE","N2W7",69,-313
96,"11","NONE","N2W7",70,-306
97,"12","NONE","N2W7",57,-313
98,"13","NONE","N2W7",58,-324
99,"14","NONE","N2W7",67,-331
100,"15","NONE","N2W7",56,-336
101,"16","NONE","N2W7",93,-325
102,"17","NONE","N2W7",99,-304
103,"L 1","NONE","N2W7",63,-313
104,"L 2","+L3","N2W7",74,-326
105,"L 4","NONE","N2W7",68,-343
106,"L 5","NONE","N2W7",58,-346
107,"L 6","NONE","N2W7",80,-347
108,"1","NONE","N1W7",28,-303
109,"2","NONE","N1W7",36,-314
110,"3","NONE","N1W7",39,-342
111,"4","NONE","N1W7",36,-349
112,"5","NONE","N1W7",32,-349
113,"6","NONE","N1W7",18,-343
114,"7","NONE","N1W7",16,-336
115,"8","NONE","N1W7",17,-330
116,"9","NONE","N1W7",4,-305
117,"10","NONE","N1W7",19,-318
118,"11","NONE","N1W7",16,-304
119,"12","NONE","N1W7",37,-306
120,"13","NONE","N1W7",43,-316
121,"14","NONE","N1W7",36,-319
122,"15","NONE","N1W7",36,-329
123,"16","NONE","N1W7",30,-331
124,"17","NONE","N1W7",22,-327
125,"18","NONE","N1W7",28,-318
126,"19","NONE","N1W7",29,-311
127,"20","NONE","N1W7",5,-336
128,"23","NONE","N1W7",50,-319
129,"24","&L6","N1W7",45,-305
130,"21","NONE","N1W7",6,-315
131,"22","NONE","N1W7",49,-332
132,"25","&L5","N1W7",3,-321
133,"L 1","NONE","N1W7",43,-333
134,"L 2","NONE","N1W7",18,-310
135,"L 3","NONE","N1W7",31,-306
136,"L 8","NONE","N1W7",0,-315
137,"L 7","NONE","N1W7",50,-345
138,"L 9","NONE","N1W7",46,-349
139,"L10","NONE","N1W7",27,-341
140,"L 4","NONE","N1W7",13,-319
141,"1","NONE","N4W6",189,-265
142,"1","NE","N4W6",196,-255
143,"1","SE","N4W6",175,-258
144,"2","NONE","N4W6",152,-271
145,"3","NONE","N4W6",158,-273
146,"4","NONE","N4W6",163,-280
147,"5","NONE","N4W6",161,-265
148,"6","NONE","N4W6",165,-287
149,"7","NONE","N4W6",154,-295
150,"8","910","N4W6",152,-287
151,"11","NONE","N4W6",194,-285
152,"12","NONE","N4W6",184,-291
153,"13","NONE","N4W6",164,-297
154,"14","NONE","N4W6",174,-285
155,"15","NONE","N4W6",187,-274
156,"16","NONE","N4W6",194,-278
157,"17","NONE","N4W6",174,-277
158,"18","NONE","N4W6",184,-281
159,"19","NONE","N4W6",151,-251
160,"20","NONE","N4W6",159,-258
161,"21","NONE","N4W6",167,-261
162,"L 1","NONE","N4W6",169,-269
163,"L 2","NONE","N4W6",172,-294
164,"L 3","NONE","N4W6",194,-291
165,"1","NONE","N3W6",132,-258
166,"2","NONE","N3W6",139,-260
167,"3","NONE","N3W6",129,-261
168,"4","NONE","N3W6",135,-261
169,"5","NONE","N3W6",132,-262
170,"7","NONE","N3W6",140,-256
171,"8","NONE","N3W6",135,-256
172,"9","NONE","N3W6",132,-254
173,"10","NONE","N3W6",139,-253
174,"11","NONE","N3W6",129,-255
175,"13","NONE","N3W6",129,-259
176,"14","&15","N3W6",128,-262
177,"16","NONE","N3W6",125,-261
178,"6","NONE","N3W6",144,-261
179,"12","NONE","N3W6",124,-255
180,"17","NONE","N3W6",122,-253
181,"18","NONE","N3W6",114,-255
182,"19","NONE","N3W6",111,-259
183,"20","NONE","N3W6",107,-256
184,"21","NONE","N3W6",105,-252
185,"22","NONE","N3W6",105,-259
186,"23","NONE","N3W6",101,-260
187,"24","NONE","N3W6",147,-277
188,"25","NONE","N3W6",142,-294
189,"26","NONE","N3W6",127,-270
190,"27","NONE","N3W6",118,-281
191,"28","NONE","N3W6",120,-284
192,"29","NONE","N3W6",117,-285
193,"30","NONE","N3W6",120,-287
194,"31","NONE","N3W6",130,-289
195,"32","NONE","N3W6",111,-298
196,"33","NONE","N3W6",114,-284
197,"34","NONE","N3W6",115,-286
198,"35","NONE","N3W6",114,-287
199,"36","NONE","N3W6",111,-286
200,"37","NONE","N3W6",107,-285
201,"38","NONE","N3W6",106,-288
202,"39","NONE","N3W6",104,-285
203,"40","NONE","N3W6",101,-283
204,"41","NONE","N3W6",101,-285
205,"42","NONE","N3W6",102,-288
206,"43","NONE","N3W6",103,-291
207,"44","NONE","N3W6",105,-293
208,"45","NONE","N3W6",107,-291
209,"46","NONE","N3W6",102,-299
210,"47","NONE","N3W6",110,-283
211,"48","NONE","N3W6",112,-281
212,"49","NONE","N3W6",100,-280
213,"1","NONE","N2W6",96,-259
214,"2","NONE","N2W6",90,-261
215,"4","NONE","N2W6",92,-257
216,"3","NONE","N2W6",83,-259
217,"5","NONE","N2W6",76,-257
218,"6","NONE","N2W6",75,-263
219,"7","NONE","N2W6",67,-262
220,"8","NONE","N2W6",73,-257
221,"9","NONE","N2W6",74,-253
222,"10","NONE","N2W6",67,-256
223,"11","NONE","N2W6",61,-256
224,"12","NONE","N2W6",56,-261
225,"13","NONE","N2W6",54,-256
226,"14","NONE","N2W6",60,-264
227,"15","NONE","N2W6",53,-252
228,"16","NONE","N2W6",57,-251
229,"17","NONE","N2W6",61,-252
230,"18","NONE","N2W6",94,-271
231,"19","NONE","N2W6",88,-272
232,"20","NONE","N2W6",87,-269
233,"21","NONE","N2W6",86,-266
234,"22","NONE","N2W6",83,-272
235,"23","NONE","N2W6",81,-274
236,"24","NONE","N2W6",78,-277
237,"25","NONE","N2W6",84,-275
238,"26","NONE","N2W6",85,-278
239,"27","NONE","N2W6",87,-276
240,"28","NONE","N2W6",89,-274
241,"29","NONE","N2W6",88,-277
242,"30","NONE","N2W6",98,-273
243,"31","&32","N2W6",98,-279
