VarID,DF9b_VarName,VarName,Table,DataType,CovertToFactorVar,NAValue,CodedVar,CodesTable,DF8_VarName,Var_Description_Short,Var_Description_Long,VarValuesDomain,Changes,Comments,
0,SSN,SSN,,Integer,TRUE,,FALSE,,SSN,SSN Primary Key,,,,,
1,site,site,Data_location,Character,TRUE,,FALSE,,SITE,Site number,"The site number is a sequence of characters that identifies a single site, a unit of analysis that corresponds to various kinds of structural and spatial entities. Most site numbers used in this database correspond to designations used to label sites in the Millon et al. (1973) mapsheets.",,"Small numbers of sites have been subjected to post-fieldwork merging, and/or redesignation. This is much more common with subsite, rather than site designations, however.","Most sites correspond to single tracts of land ('collection tracts') that were used as the minimal unit of description, collection and analysis by the TMP. Some sites subsume one or more 'subsites', and in such cases, the subsites usually constitute the collection tracts that were defined and used by fieldworkers.Most sites were defined on the basis of visible architectural remains; a minority are based on spatial units that relate to recent or modern land-use practices. Site numbers are mostly integers, but some sites have the prefix ""L"". This indicates that the site was judged to lack significant evidence for occupation during the Teotihuacan Period, although there was evidence of earlier and/or later occupation; these determinations were sometimes later revised. Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.",
2,subsite,subsite,Data_location,Character,TRUE,NONE,FALSE,,SUBSITE,Subsite,"Alphanumeric code for identifying parts of a single site that were recorded individually, as well as related collections and code sheets.",,"A fair number of subsites have been subjected to post-fieldwork merging, and/or redesignation. This may sometimes be a cause of discrepency between the current database and its various predecessors.","Subsite designations were used to identify survey tracts, collections and records thought to relate to a single 'site', but which (for one of several possible reasons [Millon 1973:22]) were treated as individual collection tracts. The subsite field is blank for most cases, since many collections from sites and subsites shown as single structures in Millon et al. (1973) were merged. The field is still relevant for subsites that were interpreted as distinct structures and left unmerged.  Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.",
3,unit,unit,Data_location,Character,TRUE,,FALSE,,UNIT,Map square designation,"A four character designation for a 500m square containing the site or subsite. These squares were based on a grid system established near the beginning of the TMP survey, with its origin near the southwest corner of the Ciudadela. The first two characters indicate the square's position north or south of the origin; the second two characters indicate its position east or west of the origin (eg. N5W4, S2E6).",,,Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.,
4,northing,northing,Data_location,Integer,FALSE,-999,FALSE,,NORTHING,North-south location of site,"This is the distance from the center of the site north or south of the center of the Teotihuacan map grid (the SW corner of N1E1), in multiples of 10 meters. Negative numbers are south, positive are north: 467 means ca. 4670m north, -211 means ca. 2100m south.","domain set:
[-1,0..]
-999=missing data",,,
5,easting,easting,Data_location,Integer,FALSE,-999,FALSE,,EASTING,East-west location of site,"This is the distance from the center of the site east or west of the center of the Teotihuacan map grid (the SW corner of N1E1), in multiples of 10 meters. Negative numbers are west, positive are east: 250 means ca. 2500m east, -420 means ca. 4200m west.","domain set:
[-1,0..]
-999=missing data",,,
6,fieldWorker1,fieldWorkers,Data_fieldWorkers,Integer,TRUE,-1,TRUE,Codes_personnel,FLDWRK1,Field workers,,"domain set:
[-1,1..32]
1=René Millon
2=Bruce Drewitt
3=James A. Bennyhoff
4=Pedro Baños
5=George L. Cowgill
6=Michael W. Spence
7=Matthew Wallrath
8=Joseph D. Marino
9=Warren T. D. Barbour
10=Arnulfo de Lucio
11=José de Lucio
12=Darlena K. Blucher
13=Daniel W. Hungerford
14=Donald R. Sutherland
15=S. Jeffrey K. Wilkerson
16=Steve M. Sharnoff
17=Silvestre Sánchez
18=Charles K. Fletcher
19=Charles C. Kolb
20=Clara Millon
21=Wendy Drewitt
22=James W. Dow
23=Mario de Lucio
24=Paul Shankman
25=Chris D. Dodds
26=G. Raymond Krotser
27=A. Jane Quisenberry
28=Michael S. West
29=Dan B. Bruhns
30=Karen O. Bruhns
31=Silvia G. Duran
32=Erica West",,,
7,fieldWorker2,fieldWorkers,Data_fieldWorkers,Integer,TRUE,-1,TRUE,Codes_personnel,FLDWRK2,Field workers,,"domain set:
[-1,1..32]
1=René Millon
2=Bruce Drewitt
3=James A. Bennyhoff
4=Pedro Baños
5=George L. Cowgill
6=Michael W. Spence
7=Matthew Wallrath
8=Joseph D. Marino
9=Warren T. D. Barbour
10=Arnulfo de Lucio
11=José de Lucio
12=Darlena K. Blucher
13=Daniel W. Hungerford
14=Donald R. Sutherland
15=S. Jeffrey K. Wilkerson
16=Steve M. Sharnoff
17=Silvestre Sánchez
18=Charles K. Fletcher
19=Charles C. Kolb
20=Clara Millon
21=Wendy Drewitt
22=James W. Dow
23=Mario de Lucio
24=Paul Shankman
25=Chris D. Dodds
26=G. Raymond Krotser
27=A. Jane Quisenberry
28=Michael S. West
29=Dan B. Bruhns
30=Karen O. Bruhns
31=Silvia G. Duran
32=Erica West",,,
8,fieldWorker3,fieldWorkers,Data_fieldWorkers,Integer,TRUE,-1,TRUE,Codes_personnel,FLDWRK3,Field workers,,"domain set:
[-1,1..32]
1=René Millon
2=Bruce Drewitt
3=James A. Bennyhoff
4=Pedro Baños
5=George L. Cowgill
6=Michael W. Spence
7=Matthew Wallrath
8=Joseph D. Marino
9=Warren T. D. Barbour
10=Arnulfo de Lucio
11=José de Lucio
12=Darlena K. Blucher
13=Daniel W. Hungerford
14=Donald R. Sutherland
15=S. Jeffrey K. Wilkerson
16=Steve M. Sharnoff
17=Silvestre Sánchez
18=Charles K. Fletcher
19=Charles C. Kolb
20=Clara Millon
21=Wendy Drewitt
22=James W. Dow
23=Mario de Lucio
24=Paul Shankman
25=Chris D. Dodds
26=G. Raymond Krotser
27=A. Jane Quisenberry
28=Michael S. West
29=Dan B. Bruhns
30=Karen O. Bruhns
31=Silvia G. Duran
32=Erica West",,,
9,fieldWorker4,fieldWorkers,Data_fieldWorkers,Integer,TRUE,-1,TRUE,Codes_personnel,FLDWRK4,Field workers,,"domain set:
[-1,1..32]
1=René Millon
2=Bruce Drewitt
3=James A. Bennyhoff
4=Pedro Baños
5=George L. Cowgill
6=Michael W. Spence
7=Matthew Wallrath
8=Joseph D. Marino
9=Warren T. D. Barbour
10=Arnulfo de Lucio
11=José de Lucio
12=Darlena K. Blucher
13=Daniel W. Hungerford
14=Donald R. Sutherland
15=S. Jeffrey K. Wilkerson
16=Steve M. Sharnoff
17=Silvestre Sánchez
18=Charles K. Fletcher
19=Charles C. Kolb
20=Clara Millon
21=Wendy Drewitt
22=James W. Dow
23=Mario de Lucio
24=Paul Shankman
25=Chris D. Dodds
26=G. Raymond Krotser
27=A. Jane Quisenberry
28=Michael S. West
29=Dan B. Bruhns
30=Karen O. Bruhns
31=Silvia G. Duran
32=Erica West",,,
