"","DF8_VAR_ID","DF8_Variable","In_Structure","populated","In_Form","DF9_Table","DF9_Variable","DF9_Codes_Table","DF9_Comments","DF9_PROBLEM","DF10_Variable","DF10_Table","DF10_Removed","DF10_Aggregated","DF10_Renamed","DF10_New","DF10_Comments"
"1",1,"SITE",TRUE,TRUE,TRUE,"location","site","-1","-1",FALSE,"site","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"2",2,"SUBSITE",TRUE,TRUE,TRUE,"location","subsite","-1","-1",FALSE,"subsite","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"3",3,"UNIT",TRUE,TRUE,TRUE,"location","unit","-1","-1",FALSE,"unit","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"4",4,"NORTHING",TRUE,TRUE,TRUE,"location","northing","-1","-1",FALSE,"northing","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"5",5,"EASTING",TRUE,TRUE,TRUE,"location","easting","-1","-1",FALSE,"easting","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"6",6,"FLDWRK1",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie1","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"7",7,"FLDWRK2",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie2","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"8",8,"FLDWRK3",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie3","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"9",9,"FLDWRK4",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie4","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"10",10,"FLDWRK5",TRUE,TRUE,TRUE,"fieldWorkers","personelleCode","-1","-1",FALSE,"workFie5","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"11",11,"COLLYEAR",TRUE,TRUE,TRUE,"admin","collectionYear","-1","-1",FALSE,"collectionYear","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"12",12,"COLLQURT",TRUE,TRUE,TRUE,"admin","collectionQuarter","-1","-1",FALSE,"collectionQuarter","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"13",13,"LSTBUILD",TRUE,TRUE,TRUE,"description","lastBuildPhase","-1","-1",TRUE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed bc values are old and invalid"
"14",14,"BURIALS",TRUE,TRUE,TRUE,"description","burials","-1","-1",FALSE,"burials","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"15",15,"MIDDEN",TRUE,TRUE,TRUE,"description","midden","-1","-1",FALSE,"midden","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"16",16,"QNTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneQuant","Codes_stoneQuant","-1",FALSE,"stoneQuant","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"17",17,"DSTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneDist","Codes_stoneDist","-1",FALSE,"stoneDist","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"18",18,"CUTSTONE",TRUE,TRUE,TRUE,"archMaterial","stoneCut","Codes_materials","All values are zero (=0)",TRUE,"-1","-1",TRUE,FALSE,FALSE,FALSE,"removed bc no values in DF9"
"19",19,"LAJAS",TRUE,TRUE,TRUE,"archMaterial","lajas","Codes_materials","-1",FALSE,"lajas","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"20",20,"TEPETATE",TRUE,TRUE,TRUE,"archMaterial","tepetate","Codes_materials","-1",FALSE,"tepetate","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"21",21,"ADOBE",TRUE,TRUE,TRUE,"archMaterial","adobe","Codes_materials","-1",FALSE,"adobe","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"22",22,"XALNENE",TRUE,TRUE,TRUE,"archMaterial","xalnene","Codes_materials","-1",FALSE,"xalnene","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"23",23,"CASCAJO",TRUE,TRUE,TRUE,"archMaterial","cascajo","Codes_materials","-1",FALSE,"cascajo","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"24",24,"CONCRETE",TRUE,TRUE,TRUE,"archMaterial","concrete","Codes_materials","-1",FALSE,"concrete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"25",25,"PLSTRUNP",TRUE,TRUE,TRUE,"archMaterial","plasterUnpaint","Codes_materials","-1",FALSE,"plasterUnpaint","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"26",26,"PLSTRPNT",TRUE,TRUE,TRUE,"archMaterial","plasterPaint","Codes_materials","-1",FALSE,"plasterPaint","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"27",27,"BURNCLAY",TRUE,TRUE,TRUE,"archMaterial","burntClay","Codes_materials","-1",FALSE,"burntClay","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"28",28,"ALMENA",TRUE,TRUE,TRUE,"archMaterial","almena","-1","-1",FALSE,"almena","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"29",29,"BRNDSTRC",TRUE,TRUE,TRUE,"archMaterial","burnedStruct","Codes_burnedStruct","-1",FALSE,"burnedStruct","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"30",30,"FLOORS",TRUE,TRUE,TRUE,"archMaterial","floors","Codes_archFeatures","-1",FALSE,"floors","-1",FALSE,FALSE,FALSE,FALSE,"-1"
