VarID,varName_DF8,varName_DF9,varName_DF10,varName_DF9b,dbTable_DF8,dbTable_DF9,dbTable_DF9b,codesTable_DF9b,varMacroCategory,varCategory,varSubCategory,codedNAValue,CodedVar,DataType,VarType,CovertToFactorVar,FactorType,varCodesValues,accdbMetadata_VarDescription_Short,accdbMetadata_VarDescription_Long,accdbMetadata_PriorChangesToVar,accdbMetadata_Comments,DF8Metadata_Text,DF9Metadata_VarText,DF9Metadata_VarGroupText,DF10Metadata_Text,DF10_Removed,DF10_Aggregated,DF10_Renamed,DF10_Changed,DF10_NewVar,RC_VarDesignProblem,RC_VarDesignProblem_Comments
0,SSN,SSN,SSN,SSN,,,,,Metadata,Primary Key,Primary Key,,FALSE,Integer,Nominal,TRUE,Unordered,,SSN Primary Key,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
1,SITE,site,site,site,V301,location,Data_location,,Metadata,Locational Metadata,Spatial Provenience,,FALSE,Character,Nominal,TRUE,Unordered,,Site number,"The site number is a sequence of characters that identifies a single site, a unit of analysis that corresponds to various kinds of structural and spatial entities. Most site numbers used in this database correspond to designations used to label sites in the Millon et al. (1973) mapsheets.","Small numbers of sites have been subjected to post-fieldwork merging, and/or redesignation. This is much more common with subsite, rather than site designations, however.","Most sites correspond to single tracts of land ('collection tracts') that were used as the minimal unit of description, collection and analysis by the TMP. Some sites subsume one or more 'subsites', and in such cases, the subsites usually constitute the collection tracts that were defined and used by fieldworkers.Most sites were defined on the basis of visible architectural remains; a minority are based on spatial units that relate to recent or modern land-use practices. Site numbers are mostly integers, but some sites have the prefix ""L"". This indicates that the site was judged to lack significant evidence for occupation during the Teotihuacan Period, although there was evidence of earlier and/or later occupation; these determinations were sometimes later revised. Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.","Site Number. A sequence of three characters, including blanks, corresponding to the identification in Millon, Drewitt, and Cowgill (1973). Usually, the only non-blank characters are numbers (right-justified), but sometimes the first character is ""L.""","Site Number Within Sector. Within each 500 by 500 meter sector of the TMP map grid, sites were numbered, starting from 1 (often for a site judged unusually interesting or well known) to some maximum number. Rarely, for various reasons, a number was skipped. Because sites were defined without regard for the edges of the arbitrary map grid sectors, some sites extend spatially into two or even three sectors. These were generally numbered as part of the sequence within the sector in which they mainly occur, but in a few cases a site that is mostly within one sector is numbered as part of the sequence for a neighboring sector. For example, site 37:N5W1 is actually within sector N5E1. As explained in Chapter One, site numbers were generally assigned in the order in which sites were surveyed, but, for various reasons, survey sometimes jumped from one part of a sector to some distant part, so sites with numerically close IDs are not necessarily spatially close to one another, although they often are. Tracts that were initially judged to have significant amounts of pre- and/or post-Teotihuacan period materials were prefixed with the letter L, in a second numerical series – L1, L2, etc. In some cases, these initial interpretations were changed, and a few sites with the ""L"" designation were judged to have had significant Teotihuacan Period occupation, while a few other sites lacking the ""L"" were judged to have not been occupied or utilized during the Teotihuacan period. Users of this file should never rely on presence or absence of an ""L"" in this field as a secure indicator of Teotihuacan Period occupation. It is better to rely on other data fields and the ""interpretations"" sheets of Millon et al. (1973). Even so, there are some ambiguous cases, hopefully to be resolved eventually by excavations or other additional data.  ",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2,SUBSITE,subsite,subsite,subsite,V401,location,Data_location,,Metadata,Locational Metadata,Spatial Provenience,NONE,FALSE,Character,Nominal,TRUE,Unordered,,Subsite,"Alphanumeric code for identifying parts of a single site that were recorded individually, as well as related collections and code sheets.","A fair number of subsites have been subjected to post-fieldwork merging, and/or redesignation. This may sometimes be a cause of discrepency between the current database and its various predecessors.","NEED TO REMOVE SPACES!!; NEED TO MOVE SECONDARY SITES FROM SUBSITE COLUMN (alongside ""+"" and ""&"") TO SITE COLUMN;; Subsite designations were used to identify survey tracts, collections and records thought to relate to a single 'site', but which (for one of several possible reasons [Millon 1973:22]) were treated as individual collection tracts. The subsite field is blank for most cases, since many collections from sites and subsites shown as single structures in Millon et al. (1973) were merged. The field is still relevant for subsites that were interpreted as distinct structures and left unmerged.  Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.","Subsite. Var. 2 is blank for most cases in DF8. It was originally used mainly for identifying separate code sheets for collections from multiple tracts of a single site and/or multiple collections from a given site. In DF8, most collections from sites and subsites shown as single structures in Millon, Drewitt, and Cowgill (1973) have been merged. However, subsite ID is still relevant for subsites interpreted as distinct structures and not merged in DF8. This variable is also sometimes used to indicate or at least suggest what was done when two or more sites that were given separate site IDs on the published map are merged (for reasons discussed on p. 2) in DF8. Occasionally, an otherwise mysterious digit in the rightmost space of var.2 is a survival from an indicator of a repeat collection on the original code sheets.","Subsite ID. This data field is blank for most DF9 cases. Sometimes, however, different tracts that share the same site number (data field 1) have been interpreted as representing different structures and appear as separate cases in DF9, distinguished only by having distinct subsite IDs. Sometimes the subsite ID has a fairly obvious interpretation, such as NW for the northwest part of the site, but often the subsite ID will be a seemingly arbitrary string of up to four characters. Many of these are the result of trying to suggest some complex merging of units originally described as separate during the field survey, within the limits of a 4-character fixed field. In a few cases an otherwise mysterious digit in the rightmost space of this data field is a survivor, not edited out, of an indicator on the original code sheet of a second collection from the same tract.",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
3,UNIT,unit,unit,unit,V401,location,Data_location,,Metadata,Locational Metadata,Spatial Provenience,,FALSE,Character,Nominal,TRUE,Unordered,,Map square designation,"A four character designation for a 500m square containing the site or subsite. These squares were based on a grid system established near the beginning of the TMP survey, with its origin near the southwest corner of the Ciudadela. The first two characters indicate the square's position north or south of the origin; the second two characters indicate its position east or west of the origin (eg. N5W4, S2E6).",,Published references to TMP sites and subsites may use colons and subscripts that are not part of this database. A site designation such as 1B':N1E1 is composed of three parts: site 1; subsite B1; and square N1E1.,"Map square designation. N2W8, S3E7, etc., as on the published map.","Map Sector ID. These are the 500 by 500 meter (25 ha) sectors of the TMP map – N2W8, S3E7, etc. ",,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
4,NORTHING,northing,northing,northing,V401,location,Data_location,,Metadata,Locational Metadata,Spatial Provenience,-999,FALSE,Integer,Interval,FALSE,,,North-south location of site,"This is the distance from the center of the site north or south of the center of the Teotihuacan map grid (the SW corner of N1E1), in multiples of 10 meters. Negative numbers are south, positive are north: 467 means ca. 4670m north, -211 means ca. 2100m south.",,NEEDS TO BE MULTIPLIED BY 10!!!!,"North-south location of site. Distance of the center of the site north or south from the center of the Teotihuacan map grid (SW corner of N1E1), in multiples of 10 meters. Negative numbers are south, positive are north. Thus, 467 means ca. 4670 m north, and -211 means ca. 2110 m south.Very useful for spatial analysis. Using the Pythagorean theorem, the geometric distance between any two sites is readily computed:  
\[ D = \sqrt{(10 \times \text{var.4})^2 + (10 \times \text{var.5})^2} \]. They are also quite helpful for locating sites since, within a 500-meter square, there is often no obvious relation between site number and spatial location. -999 = missing data ","North-South Location. This gives distance of the unit's midpoint from the center of the TMP map grid, which is at the southwest corner of sector N1E1, in multiples of 10 meters. For rectangular collection tracts, the midpoint is the center, which is also the centroid. Centroids of highly irregular tracts were probably estimated, but there was rarely any difficulty in doing this to the nearest ten meters. Negative numbers are south, positive numbers are north. Thus, 467 means ca. 4670 m north, and –211 means ca. 2110 m south.","North-South and East-West Location of Site: These two data fields are essentially the Cartesian coordinates of site midpoints, expressed in multiples of 10 m (change to actual meters?). Using the Pythagorean theorem, the straight-line distance between the midpoints of any two sites, i and j, Dij, is the square root of [(var.4i - var.4j)2 + (var.5i – var.5j)2]. This is very useful for many spatial analyses. Also, because site ID numbers (data field 1) often have no simple relation to their position with a sector, data fields 4 and 5 can be useful in locating specific sites, although this can be done more easily by a query that highlights the specific site on the map display. (Ian, is this right? Is there a better way to say it?)",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
5,EASTING,easting,easting,easting,V401,location,Data_location,,Metadata,Locational Metadata,Spatial Provenience,-999,FALSE,Integer,Interval,FALSE,,,East-west location of site,"This is the distance from the center of the site east or west of the center of the Teotihuacan map grid (the SW corner of N1E1), in multiples of 10 meters. Negative numbers are west, positive are east: 250 means ca. 2500m east, -420 means ca. 4200m west.",,NEEDS TO BE MULTIPLIED BY 10!!!!,"East-west location of site. Same as for N-S location. West is negative, east is positive. Very useful for spatial analysis. Using the Pythagorean theorem, the geometric distance between any two sites is readily computed:  
\[ D = \sqrt{(10 \times \text{var.4})^2 + (10 \times \text{var.5})^2} \]. They are also quite helpful for locating sites since, within a 500-meter square, there is often no obvious relation between site number and spatial location.  -999 = missing data ","East-West Location. Defined the same way as north-south location. West is negative, east is positive.","North-South and East-West Location of Site: These two data fields are essentially the Cartesian coordinates of site midpoints, expressed in multiples of 10 m (change to actual meters?). Using the Pythagorean theorem, the straight-line distance between the midpoints of any two sites, i and j, Dij, is the square root of [(var.4i - var.4j)2 + (var.5i – var.5j)2]. This is very useful for many spatial analyses. Also, because site ID numbers (data field 1) often have no simple relation to their position with a sector, data fields 4 and 5 can be useful in locating specific sites, although this can be done more easily by a query that highlights the specific site on the map display. (Ian, is this right? Is there a better way to say it?)",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
6,FLDWRK1,fieldWorkers,workFie1,fieldWorker1,V201,fieldWorkers,Data_fieldWorkers,Codes_personnel,Metadata,Survey Methods Metadata,Personnel Involved,-1,TRUE,Integer,Nominal,TRUE,Unordered,1=René Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Baños; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=José de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sánchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West,Field workers,,,,"Field workers. Five variables. Up to 5 field workers are listed, almost always in ascending order according to the list below. That is, if R. Millon is listed at all on the site survey record, he should always be listed for var.6. Bruce Drewitt would be listed for var.7 if Millon is listed for var.6. Otherwise, Drewitt would be listed for var.6. To find out, for example, which sites Michael Spence helped survey, one must check which sites have any of vars.6-10 coded ""6."" Numbers in parentheses are the number of sites for which the worker in question is coded present for any of vars.6-10. If the site record lists fewer than 5 fieldworkers, surplus variables are coded ""-1.""",,"Field Workers. DF8 was set up in such a way that it is not made explicit who had what role [also true of DF9?], and this is also not always entirely clear on the Site Survey Records (SSRs). Persons who were typically or always crew chiefs include Matthew Wallrath (1,050 cases), Bruce Drewitt (752 cases), Michael Spence (596 cases), James Bennyhoff (565 cases), René Millon (254 cases), Joseph Marino (251 cases), Charles Kolb (226 cases), and George Cowgill (150 cases). Beginning in 1965, Pedro Baños (3,326 cases, including those where he was a crew member) was usually a crew chief, but not before. Persons who never or almost never were crew chiefs include Arnulfo de Lucio (2,654 cases), Silvestre Sánchez (1,440 cases), José de Lucio (1,348 cases), Daniel Hungerford (212 cases), Clara Millon (102 cases), Dan Bruhns (75 cases), Silvia Duran (57 cases), Mario de Lucio (44 cases), James Dow (35 cases), Jane Quisenberry (31 cases), Karen Bruhns (12 cases), Paul Shankman (6 cases), and Michael West (3 cases). Cowgill is uncertain about the number of sites for which Steve Sharnoff (472 cases), Donald Sutherland (334 cases), Warren Barbour (256 cases), Darlena Blucher (215 cases), Jeffrey Wilkerson (139 cases), and Charles Fletcher (133 cases) served as crew chief rather than student assistant. A good indicator that one of them was likely crew chief is the absence on the SSR of any of those listed above as often a crew chief. Sometimes the order in which initials are listed on the SSR can be a clue, as is handwriting, although the SSR was often filled out by a student assistant rather than the crew chief.",,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Change to Presence/Absence for each person;; This would mean converting these 5 variables into 32 boolean variables (one for each field worker) -- or 29 boolean variables if excluding the 3 of 32 personnel that are not present in any row
7,FLDWRK2,fieldWorkers,workFie2,fieldWorker2,V201,fieldWorkers,Data_fieldWorkers,Codes_personnel,Metadata,Survey Methods Metadata,Personnel Involved,-1,TRUE,Integer,Nominal,TRUE,Unordered,1=René Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Baños; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=José de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sánchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West,Field workers,,,,"Field workers. Five variables. Up to 5 field workers are listed, almost always in ascending order according to the list below. That is, if R. Millon is listed at all on the site survey record, he should always be listed for var.6. Bruce Drewitt would be listed for var.7 if Millon is listed for var.6. Otherwise, Drewitt would be listed for var.6. To find out, for example, which sites Michael Spence helped survey, one must check which sites have any of vars.6-10 coded ""6."" Numbers in parentheses are the number of sites for which the worker in question is coded present for any of vars.6-10. If the site record lists fewer than 5 fieldworkers, surplus variables are coded ""-1.""",,"Field Workers. DF8 was set up in such a way that it is not made explicit who had what role [also true of DF9?], and this is also not always entirely clear on the Site Survey Records (SSRs). Persons who were typically or always crew chiefs include Matthew Wallrath (1,050 cases), Bruce Drewitt (752 cases), Michael Spence (596 cases), James Bennyhoff (565 cases), René Millon (254 cases), Joseph Marino (251 cases), Charles Kolb (226 cases), and George Cowgill (150 cases). Beginning in 1965, Pedro Baños (3,326 cases, including those where he was a crew member) was usually a crew chief, but not before. Persons who never or almost never were crew chiefs include Arnulfo de Lucio (2,654 cases), Silvestre Sánchez (1,440 cases), José de Lucio (1,348 cases), Daniel Hungerford (212 cases), Clara Millon (102 cases), Dan Bruhns (75 cases), Silvia Duran (57 cases), Mario de Lucio (44 cases), James Dow (35 cases), Jane Quisenberry (31 cases), Karen Bruhns (12 cases), Paul Shankman (6 cases), and Michael West (3 cases). Cowgill is uncertain about the number of sites for which Steve Sharnoff (472 cases), Donald Sutherland (334 cases), Warren Barbour (256 cases), Darlena Blucher (215 cases), Jeffrey Wilkerson (139 cases), and Charles Fletcher (133 cases) served as crew chief rather than student assistant. A good indicator that one of them was likely crew chief is the absence on the SSR of any of those listed above as often a crew chief. Sometimes the order in which initials are listed on the SSR can be a clue, as is handwriting, although the SSR was often filled out by a student assistant rather than the crew chief.",,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Change to Presence/Absence for each person;; This would mean converting these 5 variables into 32 boolean variables (one for each field worker) -- or 29 boolean variables if excluding the 3 of 32 personnel that are not present in any row
8,FLDWRK3,fieldWorkers,workFie3,fieldWorker3,V201,fieldWorkers,Data_fieldWorkers,Codes_personnel,Metadata,Survey Methods Metadata,Personnel Involved,-1,TRUE,Integer,Nominal,TRUE,Unordered,1=René Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Baños; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=José de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sánchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West,Field workers,,,,"Field workers. Five variables. Up to 5 field workers are listed, almost always in ascending order according to the list below. That is, if R. Millon is listed at all on the site survey record, he should always be listed for var.6. Bruce Drewitt would be listed for var.7 if Millon is listed for var.6. Otherwise, Drewitt would be listed for var.6. To find out, for example, which sites Michael Spence helped survey, one must check which sites have any of vars.6-10 coded ""6."" Numbers in parentheses are the number of sites for which the worker in question is coded present for any of vars.6-10. If the site record lists fewer than 5 fieldworkers, surplus variables are coded ""-1.""",,"Field Workers. DF8 was set up in such a way that it is not made explicit who had what role [also true of DF9?], and this is also not always entirely clear on the Site Survey Records (SSRs). Persons who were typically or always crew chiefs include Matthew Wallrath (1,050 cases), Bruce Drewitt (752 cases), Michael Spence (596 cases), James Bennyhoff (565 cases), René Millon (254 cases), Joseph Marino (251 cases), Charles Kolb (226 cases), and George Cowgill (150 cases). Beginning in 1965, Pedro Baños (3,326 cases, including those where he was a crew member) was usually a crew chief, but not before. Persons who never or almost never were crew chiefs include Arnulfo de Lucio (2,654 cases), Silvestre Sánchez (1,440 cases), José de Lucio (1,348 cases), Daniel Hungerford (212 cases), Clara Millon (102 cases), Dan Bruhns (75 cases), Silvia Duran (57 cases), Mario de Lucio (44 cases), James Dow (35 cases), Jane Quisenberry (31 cases), Karen Bruhns (12 cases), Paul Shankman (6 cases), and Michael West (3 cases). Cowgill is uncertain about the number of sites for which Steve Sharnoff (472 cases), Donald Sutherland (334 cases), Warren Barbour (256 cases), Darlena Blucher (215 cases), Jeffrey Wilkerson (139 cases), and Charles Fletcher (133 cases) served as crew chief rather than student assistant. A good indicator that one of them was likely crew chief is the absence on the SSR of any of those listed above as often a crew chief. Sometimes the order in which initials are listed on the SSR can be a clue, as is handwriting, although the SSR was often filled out by a student assistant rather than the crew chief.",,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Change to Presence/Absence for each person;; This would mean converting these 5 variables into 32 boolean variables (one for each field worker) -- or 29 boolean variables if excluding the 3 of 32 personnel that are not present in any row
9,FLDWRK4,fieldWorkers,workFie4,fieldWorker4,V201,fieldWorkers,Data_fieldWorkers,Codes_personnel,Metadata,Survey Methods Metadata,Personnel Involved,-1,TRUE,Integer,Nominal,TRUE,Unordered,1=René Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Baños; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=José de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sánchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West,Field workers,,,,"Field workers. Five variables. Up to 5 field workers are listed, almost always in ascending order according to the list below. That is, if R. Millon is listed at all on the site survey record, he should always be listed for var.6. Bruce Drewitt would be listed for var.7 if Millon is listed for var.6. Otherwise, Drewitt would be listed for var.6. To find out, for example, which sites Michael Spence helped survey, one must check which sites have any of vars.6-10 coded ""6."" Numbers in parentheses are the number of sites for which the worker in question is coded present for any of vars.6-10. If the site record lists fewer than 5 fieldworkers, surplus variables are coded ""-1.""",,"Field Workers. DF8 was set up in such a way that it is not made explicit who had what role [also true of DF9?], and this is also not always entirely clear on the Site Survey Records (SSRs). Persons who were typically or always crew chiefs include Matthew Wallrath (1,050 cases), Bruce Drewitt (752 cases), Michael Spence (596 cases), James Bennyhoff (565 cases), René Millon (254 cases), Joseph Marino (251 cases), Charles Kolb (226 cases), and George Cowgill (150 cases). Beginning in 1965, Pedro Baños (3,326 cases, including those where he was a crew member) was usually a crew chief, but not before. Persons who never or almost never were crew chiefs include Arnulfo de Lucio (2,654 cases), Silvestre Sánchez (1,440 cases), José de Lucio (1,348 cases), Daniel Hungerford (212 cases), Clara Millon (102 cases), Dan Bruhns (75 cases), Silvia Duran (57 cases), Mario de Lucio (44 cases), James Dow (35 cases), Jane Quisenberry (31 cases), Karen Bruhns (12 cases), Paul Shankman (6 cases), and Michael West (3 cases). Cowgill is uncertain about the number of sites for which Steve Sharnoff (472 cases), Donald Sutherland (334 cases), Warren Barbour (256 cases), Darlena Blucher (215 cases), Jeffrey Wilkerson (139 cases), and Charles Fletcher (133 cases) served as crew chief rather than student assistant. A good indicator that one of them was likely crew chief is the absence on the SSR of any of those listed above as often a crew chief. Sometimes the order in which initials are listed on the SSR can be a clue, as is handwriting, although the SSR was often filled out by a student assistant rather than the crew chief.",,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Change to Presence/Absence for each person;; This would mean converting these 5 variables into 32 boolean variables (one for each field worker) -- or 29 boolean variables if excluding the 3 of 32 personnel that are not present in any row
