"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
1,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
2,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
3,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
4,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
5,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
6,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
7,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
8,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
9,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
10,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
11,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
12,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
13,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
14,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
15,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
16,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
17,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
18,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
19,"2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation","0. No evidence for occupation"
20,"2. Evidence for permanent occupation of some form","2. Evidence for permanent occupation of some form","0. No evidence for occupation","0. No evidence for occupation"
21,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
22,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
23,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
24,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
25,"3. Permanent occupation likely in the form of domestic structures or public buildings","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
26,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
27,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
28,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
29,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
30,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
31,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation"
32,NA,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation",NA
33,NA,"0. No evidence for occupation","0. No evidence for occupation",NA
34,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
35,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
36,"1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
37,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
38,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings"
39,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
40,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
41,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
42,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
43,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
44,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
45,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
46,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
47,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
48,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
49,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
50,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
51,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
52,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
53,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
54,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
55,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
56,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
57,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
58,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
59,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
60,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
61,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
62,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
63,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
64,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
65,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
66,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
67,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
68,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
69,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
70,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
71,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
72,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
73,"3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
