"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
1,1,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
2,1,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
3,1,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
4,1,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
5,2,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
6,2,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
7,2,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures",NA,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
8,2,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
9,3,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
10,3,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
11,3,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
12,3,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
13,4,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
14,4,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
15,4,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
16,4,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
17,5,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
18,5,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
19,5,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
20,5,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
21,6,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
22,6,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
23,6,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
24,6,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
25,7,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
26,7,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
27,7,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
28,7,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
29,8,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
30,8,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
31,8,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
