"","ID","observation","code"
"1",1,"MCTLARC2",77
"2",1,"OXTOARC2",77
"3",1,"PMICARC2",77
"4",1,"XLMEARC2",77
"5",2,"MCTLARC2",-1
"6",2,"OXTOARC2",-1
"7",2,"PMICARC2",-1
"8",2,"XLMEARC2",-1
"9",3,"MCTLARC2",77
"10",3,"OXTOARC2",77
"11",3,"PMICARC2",77
"12",3,"XLMEARC2",77
"13",4,"MCTLARC2",77
"14",4,"OXTOARC2",77
"15",4,"PMICARC2",77
"16",4,"XLMEARC2",77
"17",5,"MCTLARC2",77
"18",5,"OXTOARC2",77
"19",5,"PMICARC2",77
"20",5,"XLMEARC2",77
"21",6,"MCTLARC2",77
"22",6,"OXTOARC2",77
"23",6,"PMICARC2",77
"24",6,"XLMEARC2",77
"25",7,"MCTLARC2",77
"26",7,"OXTOARC2",77
"27",7,"PMICARC2",77
"28",7,"XLMEARC2",77
"29",8,"MCTLARC2",-1
"30",8,"OXTOARC2",-1
"31",8,"PMICARC2",-1
"32",8,"XLMEARC2",-1
"33",9,"MCTLARC2",0
"34",9,"OXTOARC2",77
"35",9,"PMICARC2",-1
"36",9,"XLMEARC2",77
"37",10,"MCTLARC2",77
"38",10,"OXTOARC2",77
"39",10,"PMICARC2",77
"40",10,"XLMEARC2",77
"41",11,"MCTLARC2",77
"42",11,"OXTOARC2",77
"43",11,"PMICARC2",-1
"44",11,"XLMEARC2",77
"45",12,"MCTLARC2",77
"46",12,"OXTOARC2",77
"47",12,"PMICARC2",-1
"48",12,"XLMEARC2",77
"49",13,"MCTLARC2",77
"50",13,"OXTOARC2",77
"51",13,"PMICARC2",77
"52",13,"XLMEARC2",77
"53",14,"MCTLARC2",77
"54",14,"OXTOARC2",77
"55",14,"PMICARC2",77
"56",14,"XLMEARC2",77
"57",15,"MCTLARC2",77
"58",15,"OXTOARC2",77
"59",15,"PMICARC2",-1
"60",15,"XLMEARC2",77
"61",16,"MCTLARC2",-1
"62",16,"OXTOARC2",77
"63",16,"PMICARC2",-1
"64",16,"XLMEARC2",-1
"65",17,"MCTLARC2",77
"66",17,"OXTOARC2",77
"67",17,"PMICARC2",77
"68",17,"XLMEARC2",77
"69",18,"MCTLARC2",-1
"70",18,"OXTOARC2",-1
"71",18,"PMICARC2",-1
"72",18,"XLMEARC2",-1
"73",19,"MCTLARC2",3
"74",19,"OXTOARC2",77
"75",19,"PMICARC2",3
"76",19,"XLMEARC2",77
"77",20,"MCTLARC2",3
"78",20,"OXTOARC2",77
"79",20,"PMICARC2",3
"80",20,"XLMEARC2",77
"81",21,"MCTLARC2",77
"82",21,"OXTOARC2",77
"83",21,"PMICARC2",77
"84",21,"XLMEARC2",77
"85",22,"MCTLARC2",77
"86",22,"OXTOARC2",77
"87",22,"PMICARC2",77
"88",22,"XLMEARC2",77
"89",23,"MCTLARC2",77
"90",23,"OXTOARC2",77
"91",23,"PMICARC2",77
"92",23,"XLMEARC2",77
"93",24,"MCTLARC2",77
