"","ID","observation","code"
"1",1,"MCTLFNC2",77
"2",1,"OXTOFNC2",77
"3",1,"PMICFNC2",77
"4",1,"XLMEFNC2",77
"5",2,"MCTLFNC2",-1
"6",2,"OXTOFNC2",-1
"7",2,"PMICFNC2",-1
"8",2,"XLMEFNC2",-1
"9",3,"MCTLFNC2",77
"10",3,"OXTOFNC2",77
"11",3,"PMICFNC2",77
"12",3,"XLMEFNC2",77
"13",4,"MCTLFNC2",77
"14",4,"OXTOFNC2",77
"15",4,"PMICFNC2",77
"16",4,"XLMEFNC2",77
"17",5,"MCTLFNC2",77
"18",5,"OXTOFNC2",77
"19",5,"PMICFNC2",77
"20",5,"XLMEFNC2",77
"21",6,"MCTLFNC2",77
"22",6,"OXTOFNC2",77
"23",6,"PMICFNC2",77
"24",6,"XLMEFNC2",77
"25",7,"MCTLFNC2",77
"26",7,"OXTOFNC2",77
"27",7,"PMICFNC2",77
"28",7,"XLMEFNC2",77
"29",8,"MCTLFNC2",-1
"30",8,"OXTOFNC2",-1
"31",8,"PMICFNC2",-1
"32",8,"XLMEFNC2",-1
"33",9,"MCTLFNC2",77
"34",9,"OXTOFNC2",77
"35",9,"PMICFNC2",-1
"36",9,"XLMEFNC2",77
"37",10,"MCTLFNC2",77
"38",10,"OXTOFNC2",77
"39",10,"PMICFNC2",77
"40",10,"XLMEFNC2",77
"41",11,"MCTLFNC2",77
"42",11,"OXTOFNC2",77
"43",11,"PMICFNC2",-1
"44",11,"XLMEFNC2",77
"45",12,"MCTLFNC2",77
"46",12,"OXTOFNC2",77
"47",12,"PMICFNC2",-1
"48",12,"XLMEFNC2",77
"49",13,"MCTLFNC2",77
"50",13,"OXTOFNC2",77
"51",13,"PMICFNC2",77
"52",13,"XLMEFNC2",77
"53",14,"MCTLFNC2",77
"54",14,"OXTOFNC2",77
"55",14,"PMICFNC2",77
"56",14,"XLMEFNC2",77
"57",15,"MCTLFNC2",77
"58",15,"OXTOFNC2",77
"59",15,"PMICFNC2",-1
"60",15,"XLMEFNC2",77
"61",16,"MCTLFNC2",-1
"62",16,"OXTOFNC2",77
"63",16,"PMICFNC2",-1
"64",16,"XLMEFNC2",-1
"65",17,"MCTLFNC2",77
"66",17,"OXTOFNC2",77
"67",17,"PMICFNC2",77
"68",17,"XLMEFNC2",77
"69",18,"MCTLFNC2",-1
"70",18,"OXTOFNC2",-1
"71",18,"PMICFNC2",-1
"72",18,"XLMEFNC2",-1
"73",19,"MCTLFNC2",1
"74",19,"OXTOFNC2",77
"75",19,"PMICFNC2",1
"76",19,"XLMEFNC2",77
"77",20,"MCTLFNC2",1
"78",20,"OXTOFNC2",77
"79",20,"PMICFNC2",1
"80",20,"XLMEFNC2",77
"81",21,"MCTLFNC2",77
