"ORD_A","ORD_F","archInterp","funcInterp","count","arch_total","arch_pct","func_total","func_pct","PairIndex","count_LC","arch_pct_LC","func_pct_LC","PairIndex_LC"
19,10,"avenue divider or possible avenue divider","avenue divider",24,24,1,25,0.96,1.96,8,1,1,2
153,138,"pyramid (more than ca. 10m high)","pyramid temple (over 10 m high)",27,29,0.931034482758621,27,1,1.93103448275862,12,0.923076923076923,1,1.92307692307692
1,157,"access-way (alley, street, avenue, etc.)","street or avenue",220,228,0.964912280701754,228,0.964912280701754,1.92982456140351,83,0.976470588235294,0.965116279069767,1.94158686730506
45,50,"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",13239,14583,0.907837893437564,13644,0.970316622691293,1.87815451612886,3333,0.898382749326146,0.971720116618076,1.87010286594422
105,100,"plaza","plaza",1100,1218,0.90311986863711,1139,0.9657594381036,1.86887930674071,393,0.905529953917051,0.972772277227723,1.87830223114477
20,35,"casa humilde","low status residential, no obvious occupational specialization",2168,2358,0.919423240033927,2287,0.94796676869261,1.86739000872654,574,0.937908496732026,0.948760330578512,1.88666882731054
43,183,"free-standing wall or segment of wall","wall or segment of a wall",105,121,0.867768595041322,107,0.981308411214953,1.84907700625628,38,0.826086956521739,0.974358974358974,1.80044593088071
183,163,"temple base (incl. platforms & multi-tiered platforms)","temple platform",530,614,0.863192182410424,586,0.904436860068259,1.76762904247868,217,0.854330708661417,0.939393939393939,1.79372464805536
119,119,"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",4256,4655,0.914285714285714,5305,0.802262016965127,1.71654773125084,919,0.901864573110893,0.782127659574468,1.68399223268536
6,27,"apartment compound","intermediate status residence",3662,4705,0.778320935175345,3924,0.933231396534149,1.71155233170949,1822,0.779632006846384,0.947970863683663,1.72760287053005
137,171,"probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",4725,6729,0.702184574230941,4779,0.988700564971751,1.69088513920269,585,0.785234899328859,0.978260869565217,1.76349576889408
155,139,"room group","residence of uncertain status",2086,2458,0.848657445077299,2533,0.823529411764706,1.672186856842,5,0.0574712643678161,0.0352112676056338,0.0926825319734499
91,46,"platform in plaza (momoztli)","momoztli (platform in plaza)",20,23,0.869565217391304,27,0.740740740740741,1.61030595813205,8,0.888888888888889,0.8,1.68888888888889
38,12,"cemetery","cemetery",28,45,0.622222222222222,31,0.903225806451613,1.52544802867384,10,0.625,0.909090909090909,1.53409090909091
169,91,"simple platform","platform of probable religious significance",535,623,0.858747993579454,879,0.608646188850967,1.46739418243042,147,0.880239520958084,0.546468401486989,1.42670792244507
