varID,df8_names,JOIN,NewNamesJoin
1,SSN,SSN,SSN
2,SITE,SITE,SITE
3,SUBSITE,SUBSITE,SUBSITE
4,UNIT,UNIT,UNIT
5,NORTHING,NORTHING,NORTHING
6,EASTING,EASTING,EASTING
7,FLDWRK1,FLDWRK1,FLDWRK1
8,FLDWRK2,FLDWRK2,FLDWRK2
9,FLDWRK3,FLDWRK3,FLDWRK3
10,FLDWRK4,FLDWRK4,FLDWRK4
11,FLDWRK5,FLDWRK5,FLDWRK5
12,COLLYEAR,COLLYEAR,COLLYEAR
13,COLLQURT,COLLQURT,COLLQURT
14,LSTBUILD,LSTBUILD,LSTBUILD
15,BURIALS,BURIALS,BURIALS
16,MIDDEN,MIDDEN,MIDDEN
17,QNTSTONE,QNTSTONE,QNTSTONE
18,DSTSTONE,DSTSTONE,DSTSTONE
19,CUTSTONE,CUTSTONE,CUTSTONE
20,LAJAS,LAJAS,LAJAS
21,TEPETATE,TEPETATE,TEPETATE
22,ADOBE,ADOBE,ADOBE
23,XALNENE,XALNENE,XALNENE
24,CASCAJO,CASCAJO,CASCAJO
25,CONCRETE,CONCRETE,CONCRETE
26,PLSTRUNP,PLSTRUNP,PLSTRUNP
27,PLSTRPNT,PLSTRPNT,PLSTRPNT
28,BURNCLAY,BURNCLAY,BURNCLAY
29,ALMENA,ALMENA,ALMENA
30,BRNDSTRC,BRNDSTRC,BRNDSTRC
31,FLOORS,FLOORS,FLOORS
32,WALLS,WALLS,WALLS
33,DRAINS,DRAINS,DRAINS_ARCH
34,WALLFIXT,WALLFIXT,WALLFIXT
35,MURALS,MURALS,MURALS
36,COLUMNS,COLUMNS,COLUMNS
37,TALUDES,TALUDES,TALUDES
38,TABLEROS,TABLEROS,TABLEROS
39,SITUFLRS,SITUFLRS,SITUFLRS
40,TALUDSTN,TALUDSTN,TALUDSTN
41,WALLMATR,WALLMATR,WALLMATR
42,WALLFACE,WALLFACE,WALLFACE
43,INTRUSHD,INTRUSHD,INTRUSHD
44,HEIGHT,HEIGHT,HEIGHT
45,PMICARC1,PMICARC1,PMICARC1
46,MCTLARC1,MCTLARC1,MCTLARC1
47,XLMEARC1,XLMEARC1,XLMEARC1
48,OXTOARC1,OXTOARC1,OXTOARC1
49,PMICARC2,PMICARC2,PMICARC2
50,MCTLARC2,MCTLARC2,MCTLARC2
51,XLMEARC2,XLMEARC2,XLMEARC2
52,OXTOARC2,OXTOARC2,OXTOARC2
53,QUALCNST,QUALCNST,QUALCNST
54,PMICFNC1,PMICFNC1,PMICFNC1
55,MCTLFNC1,MCTLFNC1,MCTLFNC1
56,XLMEFNC1,XLMEFNC1,XLMEFNC1
57,OXTOFNC1,OXTOFNC1,OXTOFNC1
58,PMICFNC2,PMICFNC2,PMICFNC2
59,MCTLFNC2,MCTLFNC2,MCTLFNC2
60,XLMEFNC2,XLMEFNC2,XLMEFNC2
61,OXTOFNC2,OXTOFNC2,OXTOFNC2
62,PTTZCX1,PTTZCX1,PTTZCX1
63,MCTLCX1,MCTLCX1,MCTLCX1
64,XLMECX1,XLMECX1,XLMECX1
65,PTTZCX2,PTTZCX2,PTTZCX2
66,MCTLCX2,MCTLCX2,MCTLCX2
67,XLMECX2,XLMECX2,XLMECX2
68,PTTZCXFN,PTTZCXFN,PTTZCXFN
69,MCTLCXFN,MCTLCXFN,MCTLCXFN
70,XLMECXFN,XLMECXFN,XLMECXFN
71,PTTZRSFN,PTTZRSFN,PTTZRSFN
72,MCTLRSFN,MCTLRSFN,MCTLRSFN
73,XLMERSFN,XLMERSFN,XLMERSFN
74,PTTZTMFN,PTTZTMFN,PTTZTMFN
75,MCTLTMFN,MCTLTMFN,MCTLTMFN
76,XLMETMFN,XLMETMFN,XLMETMFN
77,PTTZCVFN,PTTZCVFN,PTTZCVFN
78,MCTLCVFN,MCTLCVFN,MCTLCVFN
79,XLMECVFN,XLMECVFN,XLMECVFN
80,XLMEOTFN,XLMEOTFN,XLMEOTFN
81,CXUNITN,CXUNITN,CXUNITN
82,CXUNIT,CXUNIT,CXUNIT
83,MCXUNITN,MCXUNITN,MCXUNITN
84,MCXUNIT,MCXUNIT,MCXUNIT
85,PTTZMCX,PTTZMCX,PTTZMCX
86,MCTLMCX,MCTLMCX,MCTLMCX
